FishID,Weight (g),Length (cm),Width (cm),Height (cm),Area (cm²),Perimeter (cm),_Truth_Length (cm),Width_truth (cm),Area_truth (cm²),Perimeter_truth (cm),Length_Error_cm,Length_Error_pct,Frame_Count,Quality_Score
fish01,67.49,18.509317048991733,6.869406005537715,9.933333333333334,87.9692832764505,42.025336581495345,19.1436865234375,3.408346862792969,39.9032,40.79739644050599,0.6343694744457657,3.313726818860678,10,13.313726818860678
fish10,17.7,20.05774749906985,9.794586420518947,5.866666666666666,148.30299582859305,49.840557024087204,17.9943701171875,4.2684716796875,49.3518,41.10669091224671,2.0633773818823506,11.466794160866433,10,21.466794160866435
fish11,13.0,20.188404097397132,7.867888909151333,7.0,132.8877512324611,49.63555942994566,19.23323974609375,1.5341293334960937,20.021,40.0114509677887,0.955164351303381,4.966216632834173,10,14.966216632834172
fish12,15.28,19.54028247373722,9.750306964420076,6.533333333333333,141.4106939704209,49.09499863166732,19.19973022460937,1.5228977966308594,20.271,40.02540238380432,0.34055224912784965,1.7737345532665074,10,11.773734553266507
fish13,13.88,8.009070300439323,6.036797790982188,5.133333333333333,40.33940083428138,23.981059179507035,13.96,2.66,22.5348,30.910210070610045,5.950929699560678,42.62843624327133,10,52.62843624327133
fish14,12.32,18.55739101683844,8.504534883343641,11.2,110.16306408797874,46.10456489961515,19.23723999023437,1.509253692626953,20.4362,39.91864342451096,0.6798489733959308,3.5340255345416,10,13.5340255345416
fish15,9.61,19.647974401709668,14.011290343119562,5.733333333333333,215.98407281001136,56.75563456425701,19.23274658203125,1.4780239868164062,22.2214,39.74489532470703,0.4152278196784174,2.1589626728943436,10,12.158962672894344
fish2,16.0,9.009875373928377,5.6576718016957415,2.466666666666667,42.662116040955624,25.356134083923337,19.184920654296874,2.5256196594238283,34.652,40.665335545539854,10.175045280368497,53.0366815882013,10,63.0366815882013
fish3,81.9,19.334650096984536,7.792310302557688,8.733333333333334,121.28365566932118,46.25209196969467,18.179229736328125,8.681918334960937,106.9158,43.98779381752014,1.1554203606564108,6.355716812068765,10,16.355716812068763
fish4,61.25,18.156530713517114,7.99137396941801,12.466666666666667,99.32688661357602,43.759628092978375,18.05954345703125,2.184082641601562,22.9692,36.968567304611206,0.09698725648586404,0.5370415742603022,10,10.537041574260302
fish5,27.36,19.795210817519305,10.763355429720386,6.4,177.24687144482363,52.94879073449411,19.220302734375,1.8373065185546875,30.0704,39.689622507095336,0.5749080831443045,2.9911499891003106,10,12.991149989100311
fish6,13.78,21.722585814148083,8.75696797165177,6.0,155.00568828213878,52.24830516907104,21.77297607421875,1.5538430786132813,21.4108,44.779333097934725,0.05039026007066738,0.2314348755030057,10,10.231434875503005
fish7,18.32,19.96544904651608,8.364452177035107,2.8,119.0747061054228,46.7553829304002,19.18,4.96,89.9526,46.71182886838913,0.7854490465160815,4.095146227925347,10,14.095146227925348
fish8,12.7,9.919762965368594,6.635350447795293,5.666666666666666,51.16609783845278,27.758081609572518,19.21125366210937,1.5309738159179689,22.302,39.859254977703095,9.291490696740777,48.364832718161,10,58.364832718161
fish9,14.0,19.73748119898773,8.937332822446985,2.933333333333333,126.09025407660218,46.24508329134657,18.634403076171875,1.4046400451660157,20.3132,38.44983574867248,1.1030781228158553,5.919578525305058,10,15.919578525305058
