FishID,Weight
fish01,67.49
fish2,16.00
fish3,81.90
fish4,61.25
fish5,27.36
fish6,13.78
fish7,18.32
fish8,12.70
fish9,14.00
fish10,17.70
fish11,13.00
fish12,15.28
fish13,13.88
fish14,12.32
fish15,9.61
