FishID,FrameIndex,Timestamp (s),FPS_Top,FPS_Front,Length (cm),Width (cm),Height (cm),Area (cm²),Perimeter (cm),BlurTop,BlurFront,Score,_SelectionMode,Weight (g)
fish01,1722,86.1,20.0,20.0,20.44764630063044,3.7748821472400382,10.340695207474138,48.276535945190936,44.01467484879888,457.141436625144,271.6888964609676,759.9903330861115,within,67.49
fish01,1736,86.8,20.0,20.0,20.55627139030363,3.792942757739996,4.772628557295756,45.74102737503319,44.28197315031889,465.576796701389,272.0453027109675,766.8820994123565,within,67.49
fish01,1748,87.4,20.0,20.0,21.142579552974105,3.794145415121174,4.931716175872281,46.793716201036176,44.49824347217931,474.8130815824532,272.0641959266556,777.7172775091088,within,67.49
fish01,2500,125.0,20.0,20.0,21.19764814984892,3.7461847833456767,11.295220918933293,49.21603242431189,44.22522151101514,471.3601991461106,263.73714843406674,776.1373475801773,within,67.49
fish01,2512,125.6,20.0,20.0,20.7375253382597,3.8138083238091,11.772483774662868,47.57474339452227,44.09253167283194,458.1907460211106,263.84991535627574,761.2006613773864,within,67.49
fish01,2525,126.25,20.0,20.0,20.96660821949371,3.82945614962508,12.24974663039244,48.40104752676118,44.123881435914825,458.00801596768224,263.7662011443137,759.214217111996,within,67.49
fish01,2563,128.15,20.0,20.0,20.79590177359478,3.6917506344932303,13.681535197581171,49.827271097474906,43.92547713318729,466.7857273563338,266.0691306830406,768.8148580393745,within,67.49
fish01,2564,128.2,20.0,20.0,20.658766519957723,3.728648727341857,13.840622816157692,48.72930533271909,43.63859235957561,466.8123115460244,266.0671840684573,768.8394956144817,within,67.49
fish01,2567,128.35,20.0,20.0,21.168616815195165,3.761668270885967,13.681535197581171,46.5560122725839,43.68557683069152,466.49946446169633,266.0774705267906,768.536934988487,within,67.49
fish01,2568,128.4,20.0,20.0,21.039577434145496,3.806047075243608,13.681535197581171,47.642658802651496,43.78576142327815,466.38823193357496,266.0812530788739,768.5094850124487,within,67.49
fish01,2578,128.9,20.0,20.0,20.70761120427411,3.7669831201201807,14.317885671887268,47.32572023138178,43.94736022079124,461.9136529730149,269.699182766374,767.4728357393889,within,67.49
fish01,2581,129.05,20.0,20.0,20.71829165803785,3.6850102752161087,14.317885671887268,47.26912405794076,43.48884690332048,461.77891341115696,269.6764158392907,767.8153292504477,within,67.49
fish01,2582,129.1,20.0,20.0,20.685973757196887,3.711221400197206,14.317885671887268,47.45023181295202,43.43796383066088,461.8321425778237,269.6804750813379,767.9326176591616,within,67.49
fish01,2583,129.15,20.0,20.0,20.84492018147446,3.771663026016505,14.476973290463793,49.03492466930061,43.85671269075068,462.0145730902778,269.6836000813379,769.1381731716158,within,67.49
fish01,2594,129.7,20.0,20.0,20.87929972011248,3.741394073611956,13.999710434734215,46.38622375226083,43.65401179921152,465.0278802490234,269.7171873317717,772.0250675807952,within,67.49
fish01,2595,129.75,20.0,20.0,20.62576613368953,3.8581115989592254,13.840622816157692,46.98614319073565,43.816644685934,465.2412439529796,269.72065738385504,772.2419013368346,within,67.49
fish01,2596,129.8,20.0,20.0,20.6816023050838,3.746686513081304,13.840622816157692,46.261712170690586,43.63420405194892,465.1820512446463,269.25794254010503,771.3799937847514,within,67.49
fish01,2597,129.85,20.0,20.0,21.187664363027764,3.715660608619036,13.681535197581171,48.57083604708425,43.88943394917362,464.8982102212788,266.4036100045839,768.5618202258627,within,67.49
fish01,2604,130.2,20.0,20.0,20.815908346404346,3.517727605421059,12.090659011815916,47.3823164048228,43.65806688491319,464.32998973516766,267.194606098334,768.3245958335017,within,67.49
fish01,2605,130.25,20.0,20.0,20.806867630355367,3.707146557952282,11.931571393239391,49.10284007742984,44.31325457993251,464.47481612405664,267.26219724416734,769.9170133682239,within,67.49
fish01,2606,130.3,20.0,20.0,20.72102159974676,3.805777328073916,11.931571393239391,48.87645538366575,44.25370796825247,464.4003370007927,267.26527667125066,770.1256136720434,within,67.49
fish01,2608,130.4,20.0,20.0,20.90460131622367,3.7971811082693177,11.772483774662868,48.52555910833142,43.69619603663722,464.2657970702371,267.2728613066673,769.1986583769044,within,67.49
fish01,2609,130.45,20.0,20.0,20.745878250813185,3.814817593219391,11.454308537509815,48.44632446551399,43.8976711099355,464.261248459126,267.2853222441673,768.7065707032933,within,67.49
fish01,2614,130.7,20.0,20.0,21.20215964442629,3.668656126811184,10.977045681780238,48.208620537061705,44.28495096991589,462.8236008243514,267.2860709401342,764.6896717644856,within,67.49
fish01,2615,130.75,20.0,20.0,21.14811566203704,3.5449060852522343,10.658870444627189,46.81635467041259,44.0807675604016,463.05334908824017,267.2872363047175,764.6205853929577,within,67.49
fish01,2619,130.95,20.0,20.0,21.12385995268445,3.671299649074161,10.658870444627189,45.93345436473266,44.20341574137115,463.0428022132402,268.4731933379172,764.9759955511574,within,67.49
fish01,2620,131.0,20.0,20.0,20.845095677727176,3.744395322121509,10.658870444627189,45.86553895660343,43.99701709016036,463.1951806854624,268.4805045358339,765.4356852212964,within,67.49
fish01,2647,132.35,20.0,20.0,21.013557898818654,3.812896993371188,13.204272341851592,47.16725094574692,44.82621765885021,457.8418443237116,263.323339819336,752.2451841430476,within,67.49
fish01,2656,132.8,20.0,20.0,21.65439753346926,3.702779558772801,10.499782826050664,47.17857018043512,44.99458465289603,466.5655336384904,264.4242642985026,761.049797936993,within,67.49
fish01,2657,132.85,20.0,20.0,21.50404865288533,3.664172513855266,10.499782826050664,46.52205456851928,44.74548554109399,466.4253253051571,264.42593747558595,760.4512627807431,within,67.49
fish01,3143,157.15,20.0,20.0,20.91149530538337,3.698813030391399,14.476973290463793,49.272628597752906,45.45953196951552,448.5586317364539,262.9699055455421,742.948537281996,within,67.49
fish01,3144,157.2,20.0,20.0,21.298375908149904,3.641324098591107,14.636060909040316,47.6652972720279,45.24740167529884,448.509209375,262.9765591913754,742.7657685663753,within,67.49
fish01,3391,169.55,20.0,20.0,21.12182135984988,3.634202358315607,11.295220918933293,47.78980885359815,44.13160791822542,457.9420559985503,269.2482356760237,749.9502916745739,within,67.49
fish01,3392,169.6,20.0,20.0,21.218518022406684,3.547630116670472,11.295220918933293,47.30308176200536,44.13045156293262,457.96546745688346,269.24608723852367,750.2915546954072,within,67.49
fish01,3393,169.65,20.0,20.0,20.90811124127797,3.535545443468295,11.295220918933293,46.8276739051008,43.63626581287434,458.00681294299454,269.24843424478115,750.5552471877756,within,67.49
fish01,3397,169.85,20.0,20.0,20.803426840188493,3.600987766818028,11.454308537509815,48.26521671050273,45.00737043026863,467.01405373738623,269.64516926129664,761.4392229986829,within,67.49
fish01,3398,169.9,20.0,20.0,20.57117261757965,3.600987766818028,11.454308537509815,47.9143204351684,44.44228090218863,466.8707898484975,271.0354882717133,762.4462781202108,within,67.49
fish01,3401,170.05,20.0,20.0,20.810062016692672,3.715946125623264,11.295220918933293,49.96310191373336,44.82991241513494,466.75096345960856,269.6617382717133,761.372701731322,within,67.49
fish01,3475,173.75,20.0,20.0,20.86704511814256,3.784217889285237,12.886097104698544,48.67270915927808,43.99771320849965,459.636883674452,268.28316397666924,765.8600476511212,within,67.49
fish01,3476,173.8,20.0,20.0,21.0603249911332,3.690922303184455,12.886097104698544,47.9369589045448,44.19924601356816,459.412591143554,268.28460928916934,765.8572004327233,within,67.49
fish01,3477,173.85,20.0,20.0,20.67914535754577,3.698813030391399,12.886097104698544,49.03492466930061,44.3225249314547,459.1723480879984,268.287916580836,766.5002646688343,within,67.49
fish01,3478,173.9,20.0,20.0,20.446795409708184,3.698813030391399,12.886097104698544,48.89909385304216,44.09210105902776,459.1053862831964,268.2861001820458,766.7714864652422,within,67.49
fish01,3487,174.35,20.0,20.0,20.498568576948667,3.7496964764994143,12.727009486122016,46.78239696634797,43.18576211752103,459.6088107638136,267.7996809112125,764.1284916750261,within,67.49
fish01,3490,174.5,20.0,20.0,20.63593073483166,3.7310669069692297,12.727009486122016,46.90690854791822,43.61210482316876,459.4111718743217,267.8138345570458,763.8250064313676,within,67.49
fish01,3491,174.55,20.0,20.0,20.980569921376407,3.6297693748284616,12.727009486122016,47.9143204351684,44.18126360677575,459.49292534239976,267.81184236954584,764.6647677119456,within,67.49
fish01,3740,187.0,20.0,20.0,20.94813502303363,3.723048776099063,9.704344733168035,49.781994158722085,44.03901842902541,456.4130592229208,263.75503253339133,760.3280917563121,within,67.49
fish01,3746,187.3,20.0,20.0,21.376134929618228,3.654047450091985,9.704344733168035,48.819859210224735,44.35022475802645,456.6905809732318,263.2620051896413,756.012586162873,within,67.49
fish01,3748,187.4,20.0,20.0,20.7194651784348,3.7066701429510425,10.340695207474138,46.25039293600238,43.91386064877411,460.7279030149671,262.6075617828264,753.7954647977936,within,67.49
fish01,3749,187.45,20.0,20.0,20.865619875847777,3.686490979679893,10.340695207474138,46.20511599724956,43.50069575233309,460.62970857052267,262.6076203765764,752.8173289470991,within,67.49
fish01,3753,187.65,20.0,20.0,20.83713984760407,3.8032500045917295,10.181607588897611,47.1219740069941,43.90869400188325,460.6774776677448,262.60780266824304,754.0452803359879,within,67.49
fish10,5490,274.5,20.0,20.0,20.44814786044034,4.265204220301157,25.33448499360586,58.20478429859956,44.58116392833136,421.7775122597589,253.12505526554324,691.442567525302,within,17.7
fish10,5491,274.55,20.0,20.0,20.44814786044034,4.429250536466586,26.00118196712181,58.00511093908465,44.49453744361759,421.7695521903144,253.1235578697099,691.3531100600244,within,17.7
fish10,5492,274.6,20.0,20.0,20.44814786044034,4.429250536466586,26.33453045387977,58.00511093908465,44.22527906518871,421.8024601764256,253.12387688012657,690.9663370565521,within,17.7
fish10,5493,274.65,20.0,20.0,20.44814786044034,4.429250536466586,26.66787894063775,57.73887979306476,44.301328435617286,421.7916008014256,253.12792635929324,690.9195271607189,within,17.7
fish10,5494,274.7,20.0,20.0,19.961287197096524,4.429250536466586,26.66787894063775,57.57248532680232,44.03314186524305,421.796084141032,253.1299576057328,690.9460417467648,within,17.7
fish10,5495,274.75,20.0,20.0,19.47442653375271,4.429250536466586,26.66787894063775,58.57085212437693,44.15092416960196,421.8028636549208,253.1343097676172,691.457173422538,within,17.7
fish10,5496,274.8,20.0,20.0,19.961287197096524,4.429250536466586,27.00122742739572,58.30462097835703,44.12930180299277,421.7715746173434,253.13939766056268,691.070972277906,within,17.7
fish10,5497,274.85,20.0,20.0,19.961287197096524,4.429250536466586,27.33457591415369,58.9036410569018,44.2772769904138,427.0193311733668,253.13069645686687,696.4700276302337,within,17.7
fish10,5498,274.9,20.0,20.0,19.961287197096524,4.429250536466586,27.33457591415369,58.57085212437693,44.09576729961119,427.2083676317002,254.9941176782292,698.3224853099293,within,17.7
fish10,5499,274.95,20.0,20.0,19.47442653375271,4.429250536466586,27.00122742739572,56.906907461752574,43.56711660185105,427.1530811733669,252.0780629907292,694.951144164096,within,17.7
fish10,5521,276.05,20.0,20.0,19.47821527487676,5.102652766893307,16.00072736438265,62.6974348876853,45.21243787853376,424.3813408126077,255.9852896369828,696.3066304495906,within,17.7
fish10,5524,276.2,20.0,20.0,19.766076025132243,5.30364648820965,16.33407585114062,66.85729654424617,46.67923511589421,424.3488494931632,255.9831183705224,696.7719678636857,within,17.7
fish10,5530,276.5,20.0,20.0,19.857514692044585,5.196788658800553,14.66733341735076,69.8191180437175,47.39949960378168,420.10924011816337,255.9868130297236,692.436053147887,within,17.7
fish10,5531,276.55,20.0,20.0,20.42516468818052,5.373773434781498,14.33398493059279,75.94243440217508,49.24321461362141,420.0926862886216,255.98786771722365,693.4405540058452,within,17.7
fish10,5532,276.6,20.0,20.0,20.640872206735462,5.575644196625588,12.000545523286986,81.7329618281078,51.06565012767271,420.0888928858439,255.9901333422237,693.9190262280675,within,17.7
fish10,7547,377.35,20.0,20.0,20.25010999044136,3.61930971051532,38.00172749040879,47.18947063202641,42.79787416445844,431.4964824459876,257.4254653866979,700.4819478326854,within,17.7
fish10,7548,377.4,20.0,20.0,20.25010999044136,3.61930971051532,38.00172749040879,47.18947063202641,42.79787416445844,431.3786569130791,258.8316437721146,701.7703006851937,within,17.7
fish10,7549,377.45,20.0,20.0,20.25010999044136,3.61930971051532,38.00172749040879,47.18947063202641,42.79787416445844,431.2772419825235,258.8314354387813,701.6686774213047,within,17.7
fish10,7550,377.5,20.0,20.0,20.25010999044136,3.7121126760407592,38.00172749040879,47.52225956455128,42.93374854790659,431.24100922081095,258.8312922096146,701.7923014304256,within,17.7
