FishID,Weight (g),FrameIndex,Timestamp (s),FPS_Top,FPS_Front,Length (cm),Width (cm),Height (cm),Area (cm²),Perimeter (cm),TopMaskPixels,FrontMaskPixels,BlurTop,BlurFront,Score,VisScore_Top_Raw,VisScore_Front_Raw,VisScore_Top_Enhanced,VisScore_Front_Enhanced,Volume (cm³),Surface Area (cm²),Aspect Ratio,Elongation,Compactness,Condition Factor (K),Rectangularity,Equivalent Diameter (cm)
fish01,67.49,3460,173.0,20.0,20.0,12.207024701641659,4.359651679157736,3.9236865112419625,53.21837573803202,33.13335276159879,2701,7951,27.93058910040208,10.277604163953995,92.22819326435608,87.2,65.4,65.8,50.1,109.33382431031141,130.13974159304652,2.8,0.6428571428571428,0.6091730907237827,1.7849853738376682,1.0,8.23163048831984
fish01,67.49,3680,184.0,20.0,20.0,12.35961251041218,4.414147325147208,3.9727325926324872,54.557150502691904,33.54751967111878,2629,5237,27.685743948854043,10.393095619191064,90.6588395680451,87.0,65.2,65.8,49.9,113.4853064947192,133.41356946749664,2.8,0.6428571428571428,0.6091730907237828,1.719687625540532,1.0,8.334525869423839
fish01,67.49,3690,184.5,20.0,20.0,12.62492288653219,4.508901030904354,4.0580109278139185,56.924527818172976,34.26764783487309,2534,5241,27.60097854207356,10.41035794470045,88.69133648677402,87.0,65.2,65.7,49.9,120.95150353651219,139.20273284983136,2.8,0.6428571428571428,0.6091730907237826,1.6135332885773477,1.0,8.513434082875996
fish01,67.49,3750,187.5,20.0,20.0,13.309815976345908,4.753505705837824,4.278155135254043,63.268286187211714,36.12664336436746,2690,9547,28.08655166731469,10.32827147419188,92.21482314150656,87.1,65.1,65.7,49.9,141.72328874000561,154.71570301147872,2.8,0.6428571428571428,0.6091730907237827,1.377044513958937,1.0,8.975281828509868
fish01,67.49,3685,184.25,20.0,20.0,12.154056922777754,4.340734615277769,3.9066611537499925,52.7575356007578,32.989583076111046,2517,5300,27.57315746701088,10.401926915105186,88.31508438211607,87.0,65.2,65.7,50.0,107.91675232483885,129.01280722970193,2.8,0.6428571428571428,0.6091730907237825,1.8084242997991324,1.0,8.195912433015499
fish01,67.49,3465,173.25,20.0,20.0,12.664788127953221,4.523138617126151,4.070824755413536,57.28459225926603,34.37585349015875,2688,7564,27.92873136543934,10.284251301405163,91.9729826668445,87.2,65.4,65.8,50.1,122.10089726742191,140.08323122414023,2.8,0.6428571428571428,0.6091730907237826,1.5983443334753784,1.0,8.540316631631834
fish01,67.49,3695,184.75,20.0,20.0,12.39767331531287,4.427740469754597,3.984966422779136,54.893679869007435,33.650827570134936,2493,5533,27.69389984581088,10.402656164169311,87.95655600998019,87.0,65.2,65.7,50.0,114.53695523114476,134.2365153797575,2.8,0.6428571428571428,0.6091730907237825,1.7038978979823245,1.0,8.360191622519952
fish01,67.49,2600,130.0,20.0,20.0,12.894081951127196,4.605029268259713,4.1445263414337425,59.37762477228006,34.99822243877383,2560,6781,27.54955994780741,10.283860615878634,89.03342056368605,87.1,65.2,65.5,50.1,128.85353793168653,145.20151427227975,2.8,0.6428571428571428,0.6091730907237826,1.5145822178597026,1.0,8.694937603715923
fish01,67.49,2605,130.25,20.0,20.0,12.951145218815984,4.6254090067199956,4.162868106047996,59.90434374245007,35.15310845107196,2562,6690,27.59418263406636,10.308479741149478,89.14266237521585,87.1,65.2,65.5,50.1,130.57185927049397,146.4895481462842,2.8,0.6428571428571428,0.6091730907237826,1.4946503660895971,1.0,8.733417392653108
fish01,67.49,2610,130.5,20.0,20.0,13.024443758577478,4.651587056634813,4.186428350971333,60.58433400726708,35.352061630424586,2559,6711,27.66725120018853,10.316552671549054,89.1638038717376,87.1,65.2,65.6,50.1,132.80139078385056,148.15239027781948,2.8,0.6428571428571428,0.6091730907237826,1.4695574805936118,1.0,8.782845202409968
fish01,67.49,2475,123.75,20.0,20.0,12.487799680817298,4.459928457434749,4.013935611691275,55.69469316722165,33.89545627650409,2808,4142,28.33968663729445,10.306145831807454,94.80583246910192,87.4,65.1,66.0,49.9,117.0530783520026,136.1953061582535,2.8,0.6428571428571428,0.6091730907237827,1.6672716344354412,1.0,8.420967033090552
fish01,67.49,3455,172.75,20.0,20.0,12.05443689287114,4.305156033168265,3.874640429851438,51.8962317157903,32.71918585207881,2522,8005,27.92824540623795,10.27696939797931,88.64521480421726,87.2,65.2,65.8,50.1,105.2848425861946,126.90658238784428,2.8,0.6428571428571428,0.6091730907237828,1.8536312774544932,1.0,8.128735107215842
fish01,67.49,3450,172.5,20.0,20.0,11.291497849018535,4.032677803220906,3.6294100228988153,45.53497274085366,30.648351304478883,2600,7878,27.96150904337565,10.273391924370658,90.23490096774631,87.0,65.2,65.7,50.1,86.53259691859694,111.35081640055046,2.8,0.6428571428571428,0.6091730907237827,2.255326711657962,1.0,7.614258201695854
fish01,67.49,2430,121.5,20.0,20.0,12.05443689287114,4.305156033168265,3.874640429851438,51.8962317157903,32.71918585207881,2822,3950,28.1976467700346,10.28499336136712,94.92264013140172,87.4,65.3,66.0,49.7,105.2848425861946,126.90658238784428,2.8,0.6428571428571428,0.6091730907237828,1.8536312774544932,1.0,8.128735107215842
fish01,67.49,3755,187.75,20.0,20.0,13.2858647008817,4.744951678886322,4.27045651099769,63.040786017905134,36.061632759536046,2471,9496,28.07725094248453,10.334700507100424,87.83195144958496,87.1,65.1,65.7,49.9,140.9595631980742,154.1593761255987,2.8,0.6428571428571428,0.6091730907237826,1.3845054058901156,1.0,8.959130632443328
