FishID,Weight (g),Length (cm),Width (cm),Height (cm),Area (cm²),Perimeter (cm),Volume (cm³),Surface Area (cm²),Aspect Ratio,Elongation,Compactness,Condition Factor (K),Rectangularity,Equivalent Diameter (cm)
fish01,67.49,16.669911087163626,2.940090667165043,6.954147231030639,28.36436196008861,37.23592057089614,267.6873013606662,315.67279785315145,5.66986293087262,0.176371106707882,48.882248178649135,1.4569329917727678,0.5787340192547064,6.009544683981191
fish01,67.49,15.345926825980149,3.06918536519603,8.004206951212744,31.31593025261444,33.713886507002044,296.09047179671364,332.4847852369722,5.0,0.2,36.29546158259573,1.8674976288839515,0.6648888888888889,6.314481829714685
fish01,67.49,14.732089752940942,3.06918536519603,8.132303019152443,30.41580658893635,32.60607150997557,288.7958237855235,325.9940669611475,4.8,0.2083333333333333,34.954059041799674,2.110796473619194,0.6726851851851853,6.223070603331612
fish01,67.49,14.732089752940942,2.8645730075162943,8.181000047665616,30.14367617898716,32.31670591927634,271.15681741707726,324.6703250239697,5.142857142857142,0.1944444444444444,34.64638736402726,2.110796473619194,0.7142857142857143,6.19516912882754
fish01,67.49,13.913640322222,3.06918536519603,8.269923095633883,29.64128157600404,31.08903179758962,277.3672900268503,316.3864652357907,4.533333333333333,0.2205882352941176,32.60749356039945,2.505630985985577,0.6941176470588235,6.143325797904434
fish01,67.49,14.118252679901737,3.06918536519603,8.227845332212079,29.955278202868488,31.37839733950546,280.0142089582869,318.0871564878829,4.6,0.2173913043478261,32.86912619965582,2.3982617285536074,0.691304347826087,6.1757788805490295
fish01,67.49,14.118252679901737,3.273797722875765,8.36664361677182,29.955278202868488,31.78762207925663,303.7203868107746,325.8662617675044,4.3125,0.2318840579710145,33.732049177125774,2.3982617285536074,0.6480978260869565,6.1757788805490295
fish01,67.49,15.345926825980149,3.06918536519603,8.133753711835173,30.85540186654657,33.713886507002044,300.8826469248966,335.9312532498108,5.0,0.2,36.83718488979865,1.8674976288839515,0.6551111111111111,6.267879850889154
fish01,67.49,13.913640322222,3.273797722875765,8.548543400925634,29.6831477929193,31.258538190453528,305.8261496103118,326.58126595642204,4.25,0.2352941176470588,32.91754016860438,2.505630985985577,0.651654411764706,6.147662773946138
fish01,67.49,14.118252679901737,3.273797722875765,8.576656328370506,29.91341198595323,31.54790378115276,311.34412996556466,330.40235258335406,4.3125,0.2318840579710145,33.271705462828265,2.3982617285536074,0.6471920289855073,6.17146166304794
fish01,67.49,14.322865037581472,3.06918536519603,8.803467140160478,29.78781333520745,31.787622054864933,303.9461503857344,339.41691289425887,4.666666666666666,0.2142857142857143,33.92168819282345,2.296940414534744,0.6776190476190476,6.1584918518721405
fish01,67.49,14.732089752940942,3.06918536519603,8.540729617057814,30.33207415510583,32.60607150997557,303.2999434082443,339.143788951365,4.8,0.2083333333333333,35.05055057814695,2.110796473619194,0.6708333333333334,6.214498876668991
fish01,67.49,14.322865037581472,3.273797722875765,8.829745593789623,30.91820119191947,31.957128472120534,325.1769954589456,344.00971670071414,4.375,0.2285714285714285,33.03096625331892,2.296940414534744,0.659375,6.274255048181394
fish01,67.49,13.913640322222,3.273797722875765,8.727059194939248,30.771669432716056,31.258538190453528,312.2125941035221,334.33845200078923,4.25,0.2352941176470588,31.753110176245595,2.505630985985577,0.6755514705882353,6.259369487356719
fish01,67.49,14.681203606217872,3.279481572930025,8.580586247172397,31.588060662563628,32.77557792723117,324.46936512445234,344.4097945306542,4.476684280650211,0.223379612523123,34.007738554748606,2.132821170814759,0.6560789542737047,6.341858400900262
fish01,67.49,13.916557959066662,3.415419019170732,8.396887488957658,29.82967955212271,31.3081854342655,313.461379552539,322.5506696791958,4.0746268264459164,0.2454212477838731,32.85997335216436,2.504055383294384,0.627585300363084,6.1628181550765
fish01,67.49,14.282569178902373,3.2603528261238925,8.626860657283526,31.23219781878392,31.8372693230686,315.5103436454593,337.120081796088,4.380682073566366,0.2282749542666281,32.45406307397268,2.316436605711512,0.6707051015809545,6.306034358601845
fish01,67.49,15.550539183659884,3.06918536519603,8.180999088212785,31.02286673420761,34.12311122236152,306.6654123041467,341.2068752655382,5.066666666666666,0.1973684210526315,37.53317607523788,1.794746323683794,0.65,6.284866006291791
fish01,67.49,15.550539183659884,3.06918536519603,8.003152032823419,30.708870107343166,34.24297034702176,299.99880105288287,335.4694379573656,5.066666666666666,0.1973684210526315,38.18378905144483,1.794746323683794,0.6434210526315789,6.252979113574973
fish01,67.49,15.423185662298568,3.0383384584249704,7.21350987879501,30.667003890427907,34.51177132507638,265.48913327877165,310.2850111690086,5.076190777736368,0.1969981121249212,38.83856291439448,1.839573600106444,0.6544268522098708,6.248715233697235
