FishID,FrameIndex,Timestamp (s),FPS_Top,FPS_Front,Weight (g),Length (cm),Width (cm),Height (cm),Area (cm²),Perimeter (cm),TopMaskPixels,FrontMaskPixels,BlurTop,BlurFront,Score
fish01,286,14.3,20.0,20.0,67.49,20.87196041076105,3.4290759721374338,19.16874940104469,45.67586116105406,44.35895851974309,3591,10787,455.0009677583481,266.6759407337506,793.4969084920988
fish01,287,14.35,20.0,20.0,67.49,20.87196041076105,3.4290759721374338,19.16874940104469,45.67586116105406,44.35895851974309,3650,10809,455.251913944932,266.676735004584,794.928648949516
fish01,288,14.4,20.0,20.0,67.49,20.87196041076105,3.4290759721374338,19.16874940104469,45.67586116105406,44.35895851974309,3614,10860,455.2019052869821,266.683395160834,794.165300447816
fish01,289,14.45,20.0,20.0,67.49,20.87196041076105,3.4290759721374338,19.16874940104469,45.67586116105406,44.35895851974309,3586,10852,455.0999478078583,266.6818196400006,793.5017674478589
fish01,290,14.5,20.0,20.0,67.49,20.87196041076105,3.4290759721374338,19.16874940104469,45.67586116105406,44.35895851974309,3554,10881,454.8861239958399,266.6838053170839,792.6499293129237
fish01,291,14.55,20.0,20.0,67.49,20.87196041076105,3.4290759721374338,19.16874940104469,45.67586116105406,44.35895851974309,3554,10986,457.3374608627321,266.6810123483339,795.0984732110661
fish01,292,14.6,20.0,20.0,67.49,20.87196041076105,3.4290759721374338,19.16874940104469,45.67586116105406,44.35895851974309,3617,11215,457.29981763592,266.6856347441672,796.3254523800873
fish01,293,14.65,20.0,20.0,67.49,20.87196041076105,3.4290759721374338,19.16874940104469,45.67586116105406,44.35895851974309,3693,11196,457.3670224970312,266.68738604625054,797.9144085432816
fish01,294,14.7,20.0,20.0,67.49,20.87196041076105,3.4290759721374338,19.16874940104469,45.67586116105406,44.35895851974309,3623,11342,457.2614061775864,266.68663734833393,796.4080435259204
fish01,331,16.55,20.0,20.0,67.49,20.87196041076105,3.4290759721374338,19.16874940104469,45.67586116105406,44.35895851974309,4455,16159,459.5036716215157,264.45510741881264,813.0587790403284
fish01,332,16.6,20.0,20.0,67.49,20.87196041076105,3.4290759721374338,19.16874940104469,45.67586116105406,44.35895851974309,4465,16513,459.4267055134902,264.42265299172936,813.1493585052195
fish01,333,16.65,20.0,20.0,67.49,20.87196041076105,3.4290759721374338,19.16874940104469,45.67586116105406,44.35895851974309,4413,16458,459.31215252429377,264.4270052079518,811.9991577322455
fish01,334,16.7,20.0,20.0,67.49,20.87196041076105,3.4290759721374338,19.16874940104469,45.67586116105406,44.35895851974309,4420,16483,459.3287149787056,264.4351432287852,812.1638582074908
fish01,335,16.75,20.0,20.0,67.49,20.87196041076105,3.4290759721374338,19.16874940104469,45.67586116105406,44.35895851974309,4453,16824,459.4919787540388,264.2830338537851,812.835012607824
fish01,336,16.8,20.0,20.0,67.49,20.87196041076105,3.4290759721374338,19.16874940104469,45.67586116105406,44.35895851974309,4602,16845,459.2406333909022,264.2864941393429,815.567127530245
fish01,337,16.85,20.0,20.0,67.49,20.87196041076105,3.4290759721374338,19.16874940104469,45.67586116105406,44.35895851974309,4661,16806,459.23379308441525,264.28887044142624,816.7426635258415
fish01,338,16.9,20.0,20.0,67.49,20.87196041076105,3.4290759721374338,19.16874940104469,45.67586116105406,44.35895851974309,4659,16803,459.2095222412108,264.2866764310094,816.6761986722204
fish01,339,16.95,20.0,20.0,67.49,20.87196041076105,3.4290759721374338,19.16874940104469,45.67586116105406,44.35895851974309,4589,16956,459.1542184217665,264.2835026020897,815.2177210238561
fish01,340,17.0,20.0,20.0,67.49,20.87196041076105,3.4290759721374338,19.16874940104469,45.67586116105406,44.35895851974309,4388,17000,459.10891029593387,264.2818098937564,811.1507201896902
