FishID,Weight (g),FrameIndex,Timestamp (s),FPS_Top,FPS_Front,Length (cm),Width (cm),Height (cm),Area (cm²),Perimeter (cm),TopMaskPixels,FrontMaskPixels,BlurTop,BlurFront,Score,VisScore_Top_Raw,VisScore_Front_Raw,VisScore_Top_Enhanced,VisScore_Front_Enhanced
fish01,67.49,1760,88.0,20.0,20.0,17.3037208839016,7.380262206719093,6.933333333333334,97.78156996587029,41.320387213700656,2620,1567,27.79327616371814,10.5016959505611,90.69497211427924,87.4,65.3,65.8,50.0
fish01,67.49,1805,90.25,20.0,20.0,17.50475126373224,8.273390580796944,12.0,104.03868031854378,42.30298238686903,2785,12370,28.158393343701775,10.433469894366796,94.29186323806857,87.4,65.7,65.9,50.3
fish01,67.49,1810,90.5,20.0,20.0,17.961420901155197,7.116270268999009,12.8,98.67273416761469,41.98475348720995,2634,12949,28.161357775860072,10.448730331039433,91.2900881068995,87.4,65.7,65.9,50.2
fish01,67.49,1815,90.75,20.0,20.0,17.22733590641871,7.022697817297323,12.533333333333333,91.24004550625709,40.796649019349424,2435,13174,28.064682383426618,10.44298811302185,87.20767049644847,87.3,65.5,65.9,50.3
fish01,67.49,1820,91.0,20.0,20.0,16.825521775163907,6.6922885525705444,12.133333333333333,89.9507015547971,39.82233971563922,2406,13231,28.07339378858024,10.477594270483655,86.6709880590639,87.3,65.6,65.9,50.3
fish01,67.49,2410,120.5,20.0,20.0,14.020949708087663,8.56835815494246,9.6,95.8854759196056,37.76962825105347,2575,4219,28.24938750796848,10.252900260066982,90.00228776803546,87.5,65.3,66.1,49.7
fish01,67.49,2415,120.75,20.0,20.0,14.605155945924649,8.76309356755479,9.466666666666667,99.67766401213498,38.30718513437664,2672,4177,28.135090444136246,10.26580390115314,91.84089434528939,87.4,65.3,66.1,49.8
fish01,67.49,2420,121.0,20.0,20.0,15.17987293296547,8.74473535126188,9.466666666666667,106.44671975729995,39.73663771403068,2847,4168,28.1167093457634,10.265621604654523,95.32233095041792,87.4,65.3,66.0,49.7
fish01,67.49,2425,121.25,20.0,20.0,19.573284623092977,15.515587679858072,9.466666666666667,207.96359499431168,57.64378954791121,3125,4098,28.16035952674018,10.286633981662327,100.9469935084025,87.4,65.3,66.0,49.7
fish01,67.49,2430,121.5,20.0,20.0,15.384097596373964,8.76309356755479,9.466666666666667,105.34698521046643,39.640570030069306,2822,3950,28.197646770034602,10.28499336136712,94.92264013140172,87.4,65.3,66.0,49.7
fish01,67.49,2435,121.75,20.0,20.0,21.328917848873456,15.34519865096216,9.2,225.938566552901,60.51101080165725,3144,3741,28.37576742197672,10.289013526821137,101.54478094879786,87.3,65.2,66.0,49.7
fish01,67.49,2440,122.0,20.0,20.0,15.189362183761634,9.152564392779446,8.666666666666666,105.06257110352672,38.99445117114132,2813,3465,28.27028114735168,10.241461457983654,94.77174260533533,87.3,65.1,66.0,49.8
fish01,67.49,2445,122.25,20.0,20.0,14.970394787356375,9.420665813465272,8.666666666666666,105.61243837694347,38.87108452686687,2832,3478,28.162051726447203,10.249934694035847,95.05198642048305,87.2,65.1,65.9,49.8
fish01,67.49,2450,122.5,20.0,20.0,14.799891358536978,7.984151917105475,8.533333333333333,93.40159271899884,37.66524301015512,2512,3285,28.434048234934867,10.24361328086853,88.91766151580339,87.3,65.0,65.9,50.0
fish01,67.49,2455,122.75,20.0,20.0,15.025700464652013,8.55972318928921,8.666666666666666,99.71558589306028,38.21590557935568,2675,3393,28.34730816507221,10.253994139766698,92.10130230483891,87.6,65.0,65.9,50.0
fish01,67.49,2460,123.0,20.0,20.0,15.543360118425898,8.669603572940812,8.8,105.11945392491465,39.22284887731074,2823,3539,28.323119898647736,10.29033528593911,95.07345518458685,87.6,65.1,66.0,50.0
fish01,67.49,2465,123.25,20.0,20.0,15.850073741858168,9.231362168648587,9.066666666666666,114.69472885855137,40.547370634288484,3069,3737,28.399356854926214,10.290582682196296,100.06993953712251,87.6,65.1,66.0,49.9
fish01,67.49,2470,123.5,20.0,20.0,15.850073741858168,9.144274112609946,9.2,113.13993174061432,40.38489307510115,3025,3954,28.280810793257345,10.286770833163787,99.06758162642113,87.5,65.1,66.0,49.9
fish01,67.49,2475,123.75,20.0,20.0,15.9371632836101,8.621743547808157,9.333333333333334,105.11945392491465,39.95574938712516,2808,4142,28.33968663729445,10.306145831807454,94.80583246910192,87.4,65.1,66.0,49.9
fish01,67.49,2480,124.0,20.0,20.0,14.01038331515478,10.528248729823856,9.6,109.17709518392111,40.36204986180793,2926,4475,28.329304740547837,10.292161457655165,97.141466198203,87.4,65.1,66.0,49.9
fish01,67.49,2485,124.25,20.0,20.0,15.498600034077056,10.00571370788219,9.733333333333333,119.49184679560105,42.07962960589685,3193,4822,28.326019375101726,10.28342773411009,102.46944710921181,87.4,65.1,66.0,49.9
fish01,67.49,2600,130.0,20.0,20.0,16.455668308247148,7.492631160134835,11.866666666666667,95.58210087220324,40.09136471606447,2560,6781,27.54955994780741,10.283860615878634,89.03342056368605,87.1,65.2,65.5,50.1
fish01,67.49,2605,130.25,20.0,20.0,16.52849351668235,7.576367446986668,11.866666666666667,95.62002275312854,40.202898164681876,2562,6690,27.59418263406636,10.308479741149478,89.14266237521585,87.1,65.2,65.5,50.1
fish01,67.49,2610,130.5,20.0,20.0,16.622038482688133,7.612240737279263,12.0,95.73378839590443,40.05065159865175,2559,6711,27.667251200188534,10.316552671549054,89.1638038717376,87.1,65.2,65.6,50.1
fish01,67.49,2615,130.75,20.0,20.0,17.09195771124937,7.166653778158168,11.733333333333333,92.20705346985208,39.99624308325606,2471,6422,27.60193426581488,10.327467373148599,87.34940163896349,87.1,65.2,65.5,50.1
fish01,67.49,2620,131.0,20.0,20.0,16.593936215769475,7.276063933552843,11.866666666666667,88.64239666287446,39.445315058875906,2378,6446,27.599790353732637,10.294690678649477,85.45448103238212,87.1,65.2,65.5,50.1
fish01,67.49,3010,150.5,20.0,20.0,11.061577458832085,7.568447109426883,50.4,59.84072810011376,31.498911170094857,1605,17542,28.091022541639546,10.525755198796592,70.71677774043613,87.1,64.4,65.7,49.6
