FishID,Weight (g),FrameIndex,Timestamp (s),FPS_Top,Length (cm),Width (cm),Area (cm²),Perimeter (cm),TopMaskPixels,BlurTop,Score,_Truth_Length (cm),Width_truth (cm),Area_truth (cm²),Perimeter_truth (cm),_AbsError_Length (cm),_PerFishScale,_PerFishScale_Width,_PerFishScale_Perimeter,_PerFishScale_Area,_CompositeRelError,_SelectionMode,_relL,_relW,_relA,_relP,_CompositeRelErrorRecalc
fish01,67.49,286,14.3,20.0,22.290329487954864,3.9450369364934654,57.09063600533949,49.91029680441435,3591,455.0009677583481,793.4969084920988,20.80835491677989,3.7047248508619215,47.14461247637051,44.34499613098476,1.4819745711749732,0.9914870379850704,0.2931347624306447,0.7767257954665941,0.2248155203559927,0.1181387581451434,within,0.0712201698357185,0.0648663788285476,0.2109684014043822,0.1255000825119251,0.1181387581451434
fish01,67.49,287,14.35,20.0,22.234126147966503,4.0039630055855735,56.63387739372895,49.75466958273687,3650,455.251913944932,794.928648949516,20.80835491677989,3.7047248508619215,47.14461247637051,44.34499613098476,1.4257712311866122,0.9914870379850704,0.2931347624306447,0.7767257954665941,0.2248155203559927,0.1181404409149838,within,0.068519171116063,0.0807720321399935,0.2012799431136396,0.1219906172902393,0.1181404409149838
fish01,67.49,288,14.4,20.0,21.62469244735046,4.018440620520796,55.963406037236425,49.50686096845555,3614,455.2019052869821,794.165300447816,20.80835491677989,3.7047248508619215,47.14461247637051,44.34499613098476,0.8163375305705678,0.9914870379850704,0.2931347624306447,0.7767257954665941,0.2248155203559927,0.1068429803484133,within,0.0392312383095826,0.0846799107323413,0.1870583529620909,0.1164024193896385,0.1068429803484133
fish01,67.49,289,14.45,20.0,21.62469244735046,4.018440620520796,55.90054934756524,49.50533922508219,3586,455.0999478078583,793.5017674478589,20.80835491677989,3.7047248508619215,47.14461247637051,44.34499613098476,0.8163375305705678,0.9914870379850704,0.2931347624306447,0.7767257954665941,0.2248155203559927,0.1065010828264958,within,0.0392312383095826,0.0846799107323413,0.185725078885383,0.1163681033786761,0.1065010828264958
fish01,67.49,290,14.5,20.0,21.62469244735046,4.018440620520796,55.636551250946304,49.36688353297574,3554,454.8861239958399,792.6499293129237,20.80835491677989,3.7047248508619215,47.14461247637051,44.34499613098476,0.8163375305705678,0.9914870379850704,0.2931347624306447,0.7767257954665941,0.2248155203559927,0.1043205852072649,within,0.0392312383095826,0.0846799107323413,0.1801253277632107,0.113245864023925,0.1043205852072649
fish01,67.49,291,14.55,20.0,21.624695393481403,4.075039251516362,55.97178692919257,49.21390266450062,3554,457.3374608627321,795.0984732110661,20.80835491677989,3.7047248508619215,47.14461247637051,44.34499613098476,0.8163404767015123,0.9914870379850704,0.2931347624306447,0.7767257954665941,0.2248155203559927,0.1090552267453651,within,0.0392313798936221,0.0999573289682457,0.187236122838985,0.1097960752806077,0.1090552267453651
fish01,67.49,292,14.6,20.0,21.431617756039604,4.018441484134191,55.38512449226159,48.99415341049108,3617,457.29981763592,796.3254523800873,20.80835491677989,3.7047248508619215,47.14461247637051,44.34499613098476,0.6232628392597128,0.9914870379850704,0.2931347624306447,0.7767257954665941,0.2248155203559927,0.0985663831025132,within,0.029952528287429,0.0846801438436869,0.1747922314563796,0.1048406288225574,0.0985663831025132
fish01,67.49,293,14.65,20.0,21.431617756039604,4.075039251516362,55.7915977521352,48.927335682713824,3693,457.3670224970312,797.9144085432816,20.80835491677989,3.7047248508619215,47.14461247637051,44.34499613098476,0.6232628392597128,0.9914870379850704,0.2931347624306447,0.7767257954665941,0.2248155203559927,0.1041644465397626,within,0.029952528287429,0.0999573289682457,0.1834140704857564,0.1033338584176195,0.1041644465397626
fish01,67.49,294,14.7,20.0,21.79229489053324,3.998567149100531,55.69940794061748,48.8411190521643,3623,457.2614061775864,796.4080435259204,20.80835491677989,3.7047248508619215,47.14461247637051,44.34499613098476,0.9839399737533476,0.9914870379850704,0.2931347624306447,0.7767257954665941,0.2248155203559927,0.1023624002200508,within,0.0472858127270742,0.0793155524546568,0.1814586018399185,0.101389633858554,0.1023624002200509
fish01,67.49,331,16.55,20.0,22.159796737354963,3.43240185526899,47.599275864992016,46.42123775198704,4455,459.5036716215157,813.0587790403284,20.80835491677989,3.7047248508619215,47.14461247637051,44.34499613098476,1.3514418205750722,0.9914870379850704,0.2931347624306447,0.7767257954665941,0.2248155203559927,0.0487295588484406,within,0.0649470765939919,0.0735069422306961,0.0096440158215191,0.0468202007475555,0.0487295588484406
fish01,67.49,332,16.6,20.0,22.04862301317764,3.5164603695434744,48.0895580444272,46.376454356956,4465,459.4267055134902,813.1493585052195,20.80835491677989,3.7047248508619215,47.14461247637051,44.34499613098476,1.2402680963977488,0.9914870379850704,0.2931347624306447,0.7767257954665941,0.2248155203559927,0.0440688998626922,within,0.0596043320751701,0.0508173991044561,0.0200435536198395,0.0458103146513033,0.0440688998626923
fish01,67.49,333,16.65,20.0,21.970113042758825,3.485899034663737,47.45261025575928,46.20356680754798,4413,459.31215252429377,811.9991577322455,20.80835491677989,3.7047248508619215,47.14461247637051,44.34499613098476,1.1617581259789311,0.9914870379850704,0.2931347624306447,0.7767257954665941,0.2248155203559927,0.0408356697535158,within,0.0558313298011891,0.0590666851135445,0.0065330429758679,0.0419116211234619,0.0408356697535159
fish01,67.49,334,16.7,20.0,21.87180801853795,3.52343685444269,47.85070262367671,46.15572333533496,4420,459.3287149787056,812.1638582074908,20.80835491677989,3.7047248508619215,47.14461247637051,44.34499613098476,1.0634531017580606,0.9914870379850704,0.2931347624306447,0.7767257954665941,0.2248155203559927,0.0389627831893987,within,0.0511070243664716,0.0489342673794124,0.0149771121283497,0.0408327288833611,0.0389627831893987
fish01,67.49,335,16.75,20.0,21.84840395433144,3.465114451112915,47.61603764890433,45.924902504402986,4453,459.4919787540388,812.835012607824,20.80835491677989,3.7047248508619215,47.14461247637051,44.34499613098476,1.040049037551551,0.9914870379850704,0.2931347624306447,0.7767257954665941,0.2248155203559927,0.040071606370352,within,0.0499822807574689,0.0646769758605042,0.0099995555753078,0.0356276132881272,0.040071606370352
fish01,67.49,336,16.8,20.0,21.84847024227765,3.5247467400578776,47.75432236618092,45.70642483217114,4602,459.2406333909022,815.567127530245,20.80835491677989,3.7047248508619215,47.14461247637051,44.34499613098476,1.040115325497755,0.9914870379850704,0.2931347624306447,0.7767257954665941,0.2248155203559927,0.0355499405678004,within,0.0499854663983556,0.0485806957464523,0.0129327585440649,0.0307008415823294,0.0355499405678005
fish01,67.49,337,16.85,20.0,21.655645972096902,3.5812700207848254,47.75851281215898,45.46909504430371,4661,459.23379308441525,816.7426635258415,20.80835491677989,3.7047248508619215,47.14461247637051,44.34499613098476,0.8472910553170117,0.9914870379850704,0.2931347624306447,0.7767257954665941,0.2248155203559927,0.028103249250147,within,0.0407187910195512,0.0333236164754242,0.0130216434825117,0.0253489460231007,0.028103249250147
fish01,67.49,338,16.9,20.0,21.655645972096902,3.584168955044776,47.90936886736981,45.489848999481126,4659,459.2095222412108,816.6761986722204,20.80835491677989,3.7047248508619215,47.14461247637051,44.34499613098476,0.8472910553170117,0.9914870379850704,0.2931347624306447,0.7767257954665941,0.2248155203559927,0.0288245923709282,within,0.0407187910195512,0.0325411199671407,0.0162215012666102,0.0258169572304107,0.0288245923709282
fish01,67.49,339,16.95,20.0,21.46282022885068,3.5247467400578776,47.31013509250461,45.16036499299869,4589,459.1542184217665,815.2177210238561,20.80835491677989,3.7047248508619215,47.14461247637051,44.34499613098476,0.6544653120707835,0.9914870379850704,0.2931347624306447,0.7767257954665941,0.2248155203559927,0.025482659360505,within,0.0314520448487268,0.0485806957464523,0.0035109550686636,0.0183869417781775,0.0254826593605051
fish01,67.49,340,17.0,20.0,21.37441715072724,3.386116279519947,45.558528673667865,44.85577824200461,4388,459.10891029593387,811.1507201896902,20.80835491677989,3.7047248508619215,47.14461247637051,44.34499613098476,0.5660622339473491,0.9914870379850704,0.2931347624306447,0.7767257954665941,0.2248155203559927,0.0395913816217966,within,0.0272036033704363,0.08600060305905,0.0336429492022574,0.0115183708554426,0.0395913816217966
fish01,67.49,341,17.05,20.0,21.29802397539054,3.396576149043429,45.67167071507597,45.14706103714028,4465,459.0721524787056,812.6659578154564,20.80835491677989,3.7047248508619215,47.14461247637051,44.34499613098476,0.489669058610648,0.9914870379850704,0.2931347624306447,0.7767257954665941,0.2248155203559927,0.0390098833219843,within,0.0235323292287646,0.0831772167228019,0.0312430558641838,0.018086931472187,0.0390098833219843
