FishID,View,FrameIndex,Method,MaskArea_px,MaskLength_px,MaskWidth_px,MaskPerimeter_px
fish01,front,144,ClassicCV,6672.5,107.85826873779297,83.68077087402344,344.9777019023895
fish01,front,145,ClassicCV,6750.5,108.45899200439453,84.44967651367188,344.9777019023895
fish01,front,146,ClassicCV,6806.5,109.31128692626953,85.64652252197266,347.46298336982727
fish01,front,147,ClassicCV,6849.5,108.86322784423828,85.80005645751953,347.11983716487885
fish01,front,148,ClassicCV,6897.5,108.88549041748047,85.80531311035156,347.119836807251
fish01,front,149,ClassicCV,6890.5,107.5055160522461,85.7640380859375,345.4629831314087
fish01,front,150,ClassicCV,7731.5,108.0,95.0,374.49242091178894
fish01,front,151,ClassicCV,7731.5,108.0,95.0,374.49242091178894
fish01,front,152,ClassicCV,7750.5,108.0,95.0,373.6639938354492
fish01,front,153,ClassicCV,7752.0,108.0,94.0,373.4213533401489
fish01,front,154,ClassicCV,7789.0,108.0,94.0,377.0782072544098
fish01,front,155,ClassicCV,7833.5,108.0,95.0,377.32084798812866
fish01,front,156,ClassicCV,7811.0,108.0,95.0,377.9066345691681
fish01,front,157,ClassicCV,7860.5,108.0,96.0,378.1492749452591
fish01,front,158,ClassicCV,7848.0,110.3512191772461,94.35222625732422,380.39191567897797
fish01,front,159,ClassicCV,7820.0,109.35330200195312,94.35222625732422,380.7350617647171
fish01,front,160,ClassicCV,7849.0,110.1820068359375,93.97610473632812,379.2203427553177
fish01,front,161,ClassicCV,7910.5,111.78477478027344,93.38866424560547,380.6345566511154
fish01,front,162,ClassicCV,7863.0,111.78477478027344,93.38866424560547,388.8771970272064
fish01,front,163,ClassicCV,7902.5,111.78477478027344,94.04780578613281,390.29141092300415
fish01,front,164,ClassicCV,7975.5,112.00409698486328,94.04267883300781,378.63455724716187
fish01,front,165,ClassicCV,7953.0,112.00409698486328,94.04267883300781,386.87719786167145
fish01,front,166,ClassicCV,7949.5,112.00409698486328,94.04267883300781,388.29141068458557
