FishID,FrameIndex,Timestamp (s),FPS_Top,FPS_Front,Length (cm),Width (cm),Height (cm),Area (cm²),Perimeter (cm),TopMaskPixels,FrontMaskPixels,BlurTop,BlurFront,Score
fish01,1728,86.4,20.0,20.0,15.621750808853024,6.111287369732779,4.8,64.20174440652255,36.087267595908976,1731,553,27.868028956585174,10.425536959319645,72.91356591590483
fish01,1798,89.9,20.0,20.0,17.08547851558285,4.457892761286371,9.466666666666667,56.408797876374656,37.12849653700421,1518,2840,28.28500375010173,10.419706893539429,69.06471064364115
fish01,2305,115.25,20.0,20.0,16.36499522603485,5.3469788809249446,7.2,71.86196435343192,37.36411754905675,1934,2617,26.72784091659358,10.13707355752521,75.5449144741188
fish01,2308,115.4,20.0,20.0,16.0926877510193,4.745044369230867,7.6,62.13500189609404,36.34168276503429,1667,2702,26.753848695637263,10.143583971394435,70.2374326670317
fish01,2310,115.5,20.0,20.0,16.305453780143647,4.976339471676706,7.6,62.43837694349639,36.52279089033238,1676,2712,26.778605765618224,10.146282538350423,70.44488830396864
fish01,2312,115.6,20.0,20.0,16.03013476428516,5.325374009660637,7.733333333333333,58.987485779294644,35.88478660276284,1582,2727,26.833679756145713,10.156305324035218,68.62998508018093
fish01,2314,115.7,20.0,20.0,16.019526771380104,5.3518962204932246,8.0,59.08229048160788,35.99588399452904,1585,2799,26.88587994563727,10.156656889502207,68.74253683513948
fish01,2316,115.8,20.0,20.0,15.9371632836101,5.573652300747616,8.133333333333333,61.13007205157375,36.19731937051738,1639,2749,26.94069311154213,10.178867173767088,69.89956028530922
fish01,2318,115.9,20.0,20.0,15.718724801136803,5.263499993900955,8.133333333333333,58.475540386803175,35.291227080110176,1571,2730,26.919702907910764,10.184615885416667,68.52431879332744
fish01,2336,116.8,20.0,20.0,8.035590282701971,4.033802216359265,8.133333333333333,24.36480849450132,20.390768972763794,663,2667,26.822806934780544,10.150087889342839,50.232894824123385
fish01,2337,116.85,20.0,20.0,14.59770955090502,5.105027871320377,8.133333333333333,60.54228289723169,33.845958107463176,830,2715,26.875046459791392,10.147132160939112,53.6221786207305
fish01,2340,117.0,20.0,20.0,15.209261827595022,4.7470032822064026,8.133333333333333,61.22487675388698,34.93897300142243,847,2798,26.89348411230393,10.143027343071832,53.97651145537576
fish01,2343,117.15,20.0,20.0,15.169215911521773,4.856863237300238,8.133333333333333,58.13424345847553,34.65730070409892,809,2843,26.90192601627303,10.152415359454684,53.234341375727716
fish01,2345,117.25,20.0,20.0,6.815739441431503,5.063120727920545,8.133333333333333,26.75388699279484,19.6004052281682,731,2820,26.955098889593433,10.154661451170178,51.72976034076362
fish01,2347,117.35,20.0,20.0,7.594681091880817,5.257856140532874,8.4,31.626848691695102,21.374635893295874,865,2941,28.083075117530353,10.282737550004324,55.66581266753468
fish01,2348,117.4,20.0,20.0,7.789416504493146,5.4525915531452025,8.4,32.78346605991656,21.865687861294337,894,2941,28.070106212455844,10.277802654170992,56.227908866626834
fish01,2466,123.3,20.0,20.0,14.890846726274761,5.670609950185181,8.533333333333333,63.57603337125521,34.50019351096258,1703,3023,28.375849910481765,10.291588541497125,72.72743845197888
fish01,2469,123.45,20.0,20.0,15.148861639421028,5.603847194838091,8.533333333333333,62.571103526734916,34.57937826871576,1679,3091,28.323319473812905,10.28809895816379,72.1914184319767
fish01,2472,123.6,20.0,20.0,15.433721906040898,5.983995540583613,8.533333333333333,62.74175199089874,34.94632990543049,1690,3234,28.324968795192394,10.291110024759504,72.41607881995189
fish01,2473,123.65,20.0,20.0,15.524686188058434,5.998654702207702,8.666666666666666,64.2207053469852,35.24719497206016,1726,3277,28.300971326964582,10.308082680500881,73.12905400746547
fish01,2476,123.8,20.0,20.0,15.15591283470498,6.209077761470525,8.666666666666666,64.84641638225254,35.03647110228424,1742,3373,28.334756081738895,10.299973956807454,73.47473003854635
fish01,2479,123.95,20.0,20.0,15.25418088326611,5.399428274416664,8.933333333333334,61.035267349260515,34.40573202235551,1642,3570,28.336166663935153,10.29244466017617,71.46861132411132
fish01,2480,124.0,20.0,20.0,15.327545405626315,5.4865642447089735,8.933333333333334,63.06408797876374,34.99067169184482,1702,3615,28.329304740547837,10.292161457655165,72.661466198203
fish01,2483,124.15,20.0,20.0,15.5017215177036,6.096182122692759,8.933333333333334,66.11679939324989,35.82067665814147,1782,3804,28.329396028476296,10.288437499321832,74.25783352779813
