FishID,Weight (g),FrameIndex,Timestamp (s),FPS_Top,FPS_Front,Length (cm),Width (cm),Height (cm),Area (cm²),Perimeter (cm),TopMaskPixels,FrontMaskPixels,BlurTop,BlurFront,Score,_Truth_Length (cm),Width_truth (cm),Area_truth (cm²),Perimeter_truth (cm),_AbsError_Length (cm),_PerFishScale,_PerFishScale_Width,_PerFishScale_Perimeter,_PerFishScale_Area,_CompositeRelError,_SelectionMode,_relL,_relW,_relA,_relP,_CompositeRelErrorRecalc
fish10,17.7,451,22.55,20.0,20.0,22.59033477915313,9.37770293264678,1.0667151576255098,128.13053614486788,59.99555068072682,5813,95,412.9998427534693,246.7135383794043,775.9733811328736,20.44814786044034,4.850535999644887,63.7290805785124,46.71214876391671,2.1421869187127958,1.0000454602739153,0.5534935197921154,0.9249995515852448,0.4545876017944917,0.5832532341850891,fill,0.10476190476190449,0.9333333333333332,1.0105505207628835,0.2843671778822347,0.583253234185089
fish10,17.7,452,22.6,20.0,20.0,21.22464218201857,8.312125147378655,1.0667151576255098,115.30369022293816,55.33333970619414,5574,95,412.46959510993486,246.84499020232096,770.7945853122558,20.44814786044034,4.850535999644887,63.7290805785124,46.71214876391671,0.7764943215782338,1.0000454602739153,0.5534935197921154,0.9249995515852448,0.4545876017944917,0.4363659130086135,within,0.03797382173084056,0.7136508517795137,0.8092790477478694,0.1845599307762301,0.4363659130086134
fish10,17.7,453,22.65,20.0,20.0,20.95399680282936,7.996940307601383,1.333393947031887,113.22622391434608,54.552369739337685,5572,620,412.60721222873264,246.8635709474245,770.9107831761571,20.44814786044034,4.850535999644887,63.7290805785124,46.71214876391671,0.5058489423890222,1.0000454602739153,0.5534935197921154,0.9249995515852448,0.4545876017944917,0.4044828491293857,within,0.024738130115327005,0.6486714680989581,0.7766806438522931,0.16784115445096454,0.4044828491293857
fish10,17.7,9854,492.7,20.0,20.0,18.017906668518563,4.2439903808117965,48.26886088255431,43.70437420980087,39.1122491709414,1242,789,431.1687975801256,250.0606570668116,706.0694546469373,20.44814786044034,4.850535999644887,63.7290805785124,46.71214876391671,2.430241191921777,1.0000454602739153,0.5534935197921154,0.9249995515852448,0.4545876017944917,0.1802021679855046,fill,0.11884896414620522,0.12504713270399315,0.3142161504125526,0.16269642467926732,0.18020216798550454
fish11,13.0,6108,305.4,20.0,20.0,26.52202703082372,2.962241599230261,1.3064287061945594,48.99907573583979,62.305042534781485,7715,129,428.77971115421246,252.05072576640444,835.1304369206168,26.712832980685764,2.130735185411241,38.62075617283951,55.5714596774843,0.1908059498620424,0.9798215296459196,0.1361832555569262,0.7547075664571832,0.1136621013158029,0.1968201115552725,within,0.007142857142857324,0.39024390243902396,0.26872388299582145,0.12116980364338728,0.19682011155527251
fish11,13.0,6109,305.45,20.0,20.0,26.712832980685764,2.9882261746621075,1.3064287061945594,50.05014956718033,63.32929557619087,7715,129,428.589129636788,252.04987941223783,834.9390090490258,26.712832980685764,2.130735185411241,38.62075617283951,55.5714596774843,0.0,0.9798215296459196,0.1361832555569262,0.7547075664571832,0.1136621013158029,0.2094948117658076,within,0.0,0.4024390243902444,0.29593914068359606,0.13960108198939014,0.20949481176580767
fish11,13.0,6110,305.5,20.0,20.0,26.712832980685764,2.9882261746621075,1.3064287061945594,50.546719881199486,63.82258062081736,7908,129,428.6124151606618,252.04987941223783,838.8222945728995,26.712832980685764,2.130735185411241,38.62075617283951,55.5714596774843,0.0,0.9798215296459196,0.1361832555569262,0.7547075664571832,0.1136621013158029,0.2149283596962914,within,0.0,0.4024390243902444,0.3087967427408126,0.14847767165410886,0.21492835969629145
fish11,13.0,6111,305.55,20.0,20.0,26.712832980685764,3.06617990095764,1.3064287061945594,51.41778697370807,64.57620615501754,8096,129,428.7056270194159,252.04980128723784,842.6754283066537,26.712832980685764,2.130735185411241,38.62075617283951,55.5714596774843,0.0,0.9798215296459196,0.1361832555569262,0.7547075664571832,0.1136621013158029,0.2331036397310206,within,0.0,0.43902439024390266,0.3313511196828459,0.16203904899733393,0.23310363973102063
fish11,13.0,6112,305.6,20.0,20.0,27.28525083027189,3.1701182026850176,1.3064287061945594,52.40058238687097,65.16888769155075,8287,129,428.3533874360825,252.0496710789045,846.143058514987,26.712832980685764,2.130735185411241,38.62075617283951,55.5714596774843,0.5724178495861274,0.9798215296459196,0.1361832555569262,0.7547075664571832,0.1136621013158029,0.2596840425110874,within,0.021428571428571574,0.4878048780487807,0.3567984570877532,0.17270426347924436,0.25968404251108745
fish11,13.0,6113,305.65,20.0,20.0,27.66686272999597,3.30004107984424,1.3064287061945594,53.960640790081136,66.08875384846542,8511,129,428.3983006305271,252.0496710789045,850.6679717094316,26.712832980685764,2.130735185411241,38.62075617283951,55.5714596774843,0.9540297493102016,0.9798215296459196,0.1361832555569262,0.7547075664571832,0.1136621013158029,0.2927361615131553,within,0.03571428571428569,0.5487804878048783,0.3971927568841744,0.18925711564928308,0.29273616151315535
