FishID,Weight (g),FrameIndex,Timestamp (s),FPS_Top,FPS_Front,Length (cm),Width (cm),Height (cm),Area (cm²),Perimeter (cm),TopMaskPixels,FrontMaskPixels,BlurTop,BlurFront,Score
fish01,67.49,1728,86.4,20.0,20.0,16.569368460772544,5.917631593133052,5.325868433819747,98.05141828172998,44.97400010781119,1606,1167,456.8650346450617,271.6973339609676,760.6823686060293
fish01,67.49,1798,89.9,20.0,20.0,17.944760112298425,6.408842897249438,5.767958607524495,115.00514838854879,48.70720601909573,1675,5040,468.0351085037608,272.1319107625219,773.6670192662826
fish01,67.49,2305,115.25,20.0,20.0,17.37778517722235,6.206351849007983,5.585716664107185,107.85264916631745,47.16827405246067,1796,3020,463.4096169704861,266.629921850586,765.9595388210721
fish01,67.49,2308,115.4,20.0,20.0,17.339964859660554,6.192844592735913,5.573560133462322,107.3837076193796,47.065618904792935,1586,3125,462.4583237243653,266.62988929850263,760.8082130228679
fish01,67.49,2310,115.5,20.0,20.0,17.499949438372415,6.249981942275863,5.624983748048277,109.37436798056822,47.499862761296555,1640,3129,462.2938228310479,266.632578100586,761.7264009316339
fish01,67.49,2312,115.6,20.0,20.0,17.146351160583706,6.123696843065609,5.511327158759048,104.99905647216077,46.54009600729863,1614,3201,449.0759671359402,266.6431314860026,747.9990986219427
fish01,67.49,2314,115.7,20.0,20.0,16.946503408533516,6.052322645904828,5.447090381314345,102.56570634837075,45.997652108876686,1550,3283,449.12995154062907,266.6439648232353,746.7739163638644
fish01,67.49,2316,115.8,20.0,20.0,16.8967825275026,6.0345651883937865,5.431108669554408,101.96473563632757,45.86269543179277,1606,3299,448.67248638899065,266.8635058379174,747.6559922269081
fish01,67.49,2318,115.9,20.0,20.0,16.56220583699169,5.915073513211318,5.323566161890187,97.96666506674345,44.95455870040602,1610,3348,448.530242346568,266.8646386641503,747.5948810107184
fish01,67.49,2336,116.8,20.0,20.0,16.50803375893787,5.895726342477811,5.30615370823003,97.326849495083,44.80752020283136,1064,3253,457.0961322616578,266.98316405737137,745.3592963190292
fish01,67.49,2337,116.85,20.0,20.0,16.744294858062304,5.980105306450823,5.382094775805741,100.13264653347561,45.448800329026255,992,3313,456.8714664694703,266.98559895320466,743.697065422675
fish01,67.49,2340,117.0,20.0,20.0,16.977560759190013,6.063414556853576,5.457073101168219,102.94198904713878,46.08195063208718,1063,3423,456.9613275676961,266.9839029858801,745.2052305535763
fish01,67.49,2343,117.15,20.0,20.0,16.851382100724894,6.018350750258891,5.416515675233002,101.41752810879692,45.739465701967575,1135,3361,456.80772082879344,266.9971093654632,746.5048301942567
fish01,67.49,2345,117.25,20.0,20.0,16.70933008144778,5.967617886231351,5.3708560976082165,99.71489706099133,45.35389593535827,1215,3345,456.7763753426823,267.10999348004657,748.1863688227288
fish01,67.49,2347,117.35,20.0,20.0,16.97555504624578,6.062698230802065,5.456428407721859,102.91766754575735,46.07650655409569,1283,3438,473.7950419047039,267.11908524168865,766.5741271463925
fish01,67.49,2348,117.4,20.0,20.0,16.713669849973787,5.969167803562067,5.372251023205861,99.76669994782958,45.36567530707171,1289,3438,473.4714221130371,267.68991857502186,766.941340688059
fish01,67.49,2466,123.3,20.0,20.0,15.462418458276366,5.522292306527274,4.970063075874546,85.38799449244489,41.96942152960728,1984,3427,471.8197352425846,265.60226887841765,777.1020041210022
fish01,67.49,2469,123.45,20.0,20.0,15.457202118908064,5.520429328181452,4.968386395363307,85.33039190884855,41.95526289417903,2036,3496,471.64645832579816,265.65224283675093,778.0187011625492
fish01,67.49,2472,123.6,20.0,20.0,16.008976721293433,5.717491686176226,5.145742517558603,91.53119130818394,43.45293681493932,2044,3666,467.0885937424648,265.6572233064334,773.6258170488982
fish01,67.49,2473,123.65,20.0,20.0,16.38773555368259,5.852762697743782,5.267486427969404,95.913527349083,44.48099650285274,2097,3686,467.27045138135367,265.65836262935005,774.8688140107038
fish01,67.49,2476,123.8,20.0,20.0,15.62139423766294,5.579069370593908,5.021162433534517,87.15284211731748,42.40092721651369,2071,3819,467.31650172857576,265.1749967439334,773.9114984725092
fish01,67.49,2479,123.95,20.0,20.0,16.011624262379822,5.718437236564222,5.1465935129078,91.56146839986792,43.46012299788809,1977,4019,467.24193575635366,265.17802408768347,771.959959844037
