FishID,Weight (g),FrameIndex,Timestamp (s),FPS_Top,FPS_Front,Length (cm),Width (cm),Height (cm),Area (cm²),Perimeter (cm),TopMaskPixels,FrontMaskPixels,BlurTop,BlurFront,Score,_Truth_Length (cm),Width_truth (cm),Area_truth (cm²),Perimeter_truth (cm),_AbsError_Length (cm),_PerFishScale,_PerFishScale_Width,_PerFishScale_Perimeter,_PerFishScale_Area,_CompositeRelError,_SelectionMode,_relL,_relW,_relA,_relP,_CompositeRelErrorRecalc
fish10,17.7,9855,492.75,20.0,20.0,19.242665524742847,4.31566239890144,48.66887906666387,47.81620586622593,41.23895880336773,1432,1418,431.1010414550028,250.0617445468479,709.8027860018507,20.44814786044034,4.850535999644887,63.7290805785124,46.71214876391671,1.2054823356974929,1.0000454602739153,0.5534935197921154,0.9249995515852448,0.4545876017944917,0.1340220666486412,within,0.058953130812872234,0.11027103000216985,0.24969565805491684,0.11716844772460568,0.13402206664864116
fish10,17.7,9856,492.8,20.0,20.0,19.212581434437105,4.44029093718984,48.66887906666387,50.71259042924232,42.37562131039942,1740,1885,430.6569877013407,250.0610023657481,715.5179900670887,20.44814786044034,4.850535999644887,63.7290805785124,46.71214876391671,1.2355664260032349,1.0000454602739153,0.5534935197921154,0.9249995515852448,0.4545876017944917,0.1105210007607034,within,0.060424368722098415,0.08457726372612874,0.20424726092249426,0.09283510967209216,0.1105210007607034
fish10,17.7,9857,492.85,20.0,20.0,19.584543694406587,4.494676736557875,48.66887906666387,51.35048464847806,42.69692391908341,1846,2422,430.4767099548339,250.070461954583,717.4671719094168,20.44814786044034,4.850535999644887,63.7290805785124,46.71214876391671,0.8636041660337526,1.0000454602739153,0.5534935197921154,0.9249995515852448,0.4545876017944917,0.098948335917009,within,0.04223385765438979,0.0733649359809028,0.1942377925064252,0.08595675752631832,0.09894833591700902
fish10,17.7,9858,492.9,20.0,20.0,19.581650879124812,4.45117911682229,48.66887906666387,55.40197495984028,43.505753695437726,2012,3036,427.3198696940104,250.0703741009076,717.630243794918,20.44814786044034,4.850535999644887,63.7290805785124,46.71214876391671,0.8664969813155246,1.0000454602739153,0.5534935197921154,0.9249995515852448,0.4545876017944917,0.0810033907636583,within,0.04237532842726953,0.08233252631293403,0.1306641417557149,0.06864156655871495,0.08100339076365835
fish10,17.7,9859,492.95,20.0,20.0,19.47015342807711,4.53864927500477,47.202145724928805,58.04837395045347,44.05566017921297,2180,3480,427.2675997467984,250.0751951048109,720.9427948516093,20.44814786044034,4.850535999644887,63.7290805785124,46.71214876391671,0.9779944323632286,1.0000454602739153,0.5534935197921154,0.9249995515852448,0.4545876017944917,0.0645337897996663,within,0.04782802036830381,0.06429943508572057,0.0891383741376979,0.05686932960694307,0.06453378979966634
fish11,13.0,5947,297.35,20.0,20.0,28.04847462972006,2.234673487138619,46.50886194052632,37.582096599349455,55.17372222444132,6542,5056,438.7505933543829,250.37231436147687,819.9629077158598,26.712832980685764,2.130735185411241,38.62075617283951,55.5714596774843,1.3356416490342973,0.9798215296459196,0.1361832555569262,0.7547075664571832,0.1136621013158029,0.0332078826667771,within,0.050000000000000336,0.04878048780487826,0.02689381763634414,0.0071572252258856614,0.0332078826667771
fish11,13.0,5948,297.4,20.0,20.0,28.430086529444136,2.234673487138619,51.21200528282673,37.94211007701335,55.55778279063536,6759,6092,438.5336185953774,251.6143358591292,825.3279544545067,26.712832980685764,2.130735185411241,38.62075617283951,55.5714596774843,1.7172535487583716,0.9798215296459196,0.1361832555569262,0.7547075664571832,0.1136621013158029,0.0327210929356973,fill,0.06428571428571432,0.04878048780487826,0.01757205614486196,0.00024611350733482016,0.032721092935697346
fish11,13.0,5949,297.45,20.0,20.0,28.430086529444136,2.234673487138619,53.56357695397693,38.21108566377372,55.58513656433325,6632,5867,438.4230630398219,251.80808234277308,822.8711453825949,26.712832980685764,2.130735185411241,38.62075617283951,55.5714596774843,1.7172535487583716,0.9798215296459196,0.1361832555569262,0.7547075664571832,0.1136621013158029,0.0309799593237827,fill,0.06428571428571432,0.04878048780487826,0.010607521697203227,0.00024611350733494804,0.03097995932378269
fish11,13.0,5950,297.5,20.0,20.0,28.62089247930617,2.234673487138619,52.12650537716293,38.96835539265293,56.13389876303895,6448,5562,437.88610979817713,251.88542877696364,818.7315385751408,26.712832980685764,2.130735185411241,38.62075617283951,55.5714596774843,1.9080594986204105,0.9798215296459196,0.1361832555569262,0.7547075664571832,0.1136621013158029,0.0348325967076493,fill,0.07142857142857124,0.04878048780487826,0.009000321440051737,0.010121006157096362,0.0348325967076494
fish11,13.0,5951,297.55,20.0,20.0,28.430086529444136,2.234673487138619,61.01022057928593,38.24212130839991,55.8039468236577,6179,4993,437.6930152097913,251.8821185751916,813.1551337849829,26.712832980685764,2.130735185411241,38.62075617283951,55.5714596774843,1.7172535487583716,0.9798215296459196,0.1361832555569262,0.7547075664571832,0.1136621013158029,0.0317634236604818,fill,0.06428571428571432,0.04878048780487826,0.009803921568627482,0.004183570982707042,0.03176342366048178
fish11,13.0,5952,297.6,20.0,20.0,28.430086529444136,2.234673487138619,57.74414881379953,38.32902111335327,55.8269666158213,6089,4157,437.4758146987728,251.801119705836,811.0569344046087,26.712832980685764,2.130735185411241,38.62075617283951,55.5714596774843,1.7172535487583716,0.9798215296459196,0.1361832555569262,0.7547075664571832,0.1136621013158029,0.0313044629888256,fill,0.06428571428571432,0.04878048780487826,0.007553841208614364,0.004597808656095505,0.03130446298882561
fish11,13.0,5953,297.65,20.0,20.0,28.62089247930617,2.234673487138619,46.90079055238469,38.370401972854864,55.90494934078909,6459,2865,437.2047469309866,251.6706835079193,818.0554304389059,26.712832980685764,2.130735185411241,38.62075617283951,55.5714596774843,1.9080594986204105,0.9798215296459196,0.1361832555569262,0.7547075664571832,0.1136621013158029,0.0331731323961324,fill,0.07142857142857124,0.04878048780487826,0.006482374370513063,0.006001095980566944,0.03317313239613238
fish11,13.0,5954,297.7,20.0,20.0,28.62089247930617,2.234673487138619,48.729790741057066,38.41385187533154,55.91230624989552,6385,1880,437.0756802556355,251.65951465681923,816.4351949124548,26.712832980685764,2.130735185411241,38.62075617283951,55.5714596774843,1.9080594986204105,0.9798215296459196,0.1361832555569262,0.7547075664571832,0.1136621013158029,0.0329249689674026,fill,0.07142857142857124,0.04878048780487826,0.005357334190506688,0.006133482445654076,0.03292496896740257
fish11,13.0,5955,297.75,20.0,20.0,23.850743732755145,2.234673487138619,50.558790929729454,35.146833017680535,50.319535342068775,5561,441,436.6169473807441,251.66852192175128,799.5054693024954,26.712832980685764,2.130735185411241,38.62075617283951,55.5714596774843,2.8620892479306197,0.9798215296459196,0.1361832555569262,0.7547075664571832,0.1136621013158029,0.0850951422404047,fill,0.1071428571428572,0.04878048780487826,0.08994964105860916,0.09450758295527421,0.08509514224040471
