FishID,View,FrameIndex,Method,MaskArea_px,MaskLength_px,MaskWidth_px,MaskPerimeter_px,Bbox_w_px,Bbox_h_px
fish01,front,144,FastSAM,1169.0,39.0,31.0,130.62741613388062,83.12158,93.27051
fish01,front,145,FastSAM,4291.5,96.16651916503906,55.154327392578125,263.4629839658737,82.88757,92.50635
fish01,front,146,FastSAM,4343.5,99.70205688476562,55.154327392578125,264.97770166397095,83.20941,93.21466
fish01,front,147,FastSAM,4425.0,100.40916442871094,56.56854248046875,268.73506247997284,84.35071,94.12546
fish01,front,148,FastSAM,4520.5,103.94469451904297,56.56854248046875,271.66399323940277,84.52423,94.59247
fish01,front,149,FastSAM,1169.0,39.0,31.0,130.62741613388062,84.25366,93.909
fish01,front,150,FastSAM,3973.0,91.35003662109375,56.13874816894531,249.76449990272522,83.92206,91.122375
fish01,front,151,FastSAM,3973.0,91.35003662109375,56.13874816894531,249.76449990272522,83.832275,90.98694
fish01,front,152,FastSAM,4068.0,91.35003662109375,56.13874816894531,253.07820785045624,83.75037,91.00427
fish01,front,153,FastSAM,4001.0,91.35003662109375,56.13874816894531,250.59292721748352,83.84534,91.26895
fish01,front,154,FastSAM,4023.5,90.50965881347656,57.982749938964844,251.17871344089508,83.96759,91.30728
fish01,front,155,FastSAM,4015.0,90.50965881347656,57.982749938964844,251.76449966430664,84.49231,91.52911
fish01,front,156,FastSAM,3984.0,89.09545135498047,57.982749938964844,248.5929273366928,85.56506,92.133606
fish01,front,157,FastSAM,3983.5,90.89312744140625,56.53490447998047,248.35028731822968,85.62256,91.94989
fish01,front,158,FastSAM,4022.5,89.80255889892578,58.68986129760742,249.52186048030853,85.40961,91.25568
fish01,front,159,FastSAM,3992.0,89.02139282226562,57.79813003540039,246.9360740184784,86.24219,91.98587
fish01,front,160,FastSAM,3977.0,88.5828628540039,57.79813003540039,246.10764598846436,86.84595,91.43268
fish01,front,161,FastSAM,4022.0,88.86286926269531,58.408992767333984,248.93607318401337,90.96533,91.88019
fish01,front,162,FastSAM,4055.5,90.0,58.200008392333984,250.6934311389923,91.72504,91.116455
fish01,front,163,FastSAM,4081.5,89.78801727294922,58.32025146484375,250.69343173503876,92.48547,92.25302
fish01,front,164,FastSAM,4119.5,89.35945129394531,59.25469970703125,251.52185952663422,91.56946,92.68051
fish01,front,165,FastSAM,4086.0,86.46586608886719,58.69895935058594,250.59292614459991,90.71692,93.01138
fish01,front,166,FastSAM,4057.5,87.23563385009766,58.84471893310547,252.35028493404388,93.55078,92.943146
fish01,front,167,FastSAM,4026.5,85.17865753173828,58.98232650756836,250.00713920593262,93.3634,92.93646
fish01,front,168,FastSAM,4147.0,88.155517578125,59.11838912963867,256.24978017807007,92.09943,91.50961
fish01,front,169,FastSAM,4123.0,86.2558822631836,59.907623291015625,251.76449954509735,91.05127,90.21655
