FishID,Weight (g),FrameIndex,Timestamp (s),FPS_Top,FPS_Front,Length (cm),Width (cm),Height (cm),Area (cm²),Perimeter (cm),TopMaskPixels,FrontMaskPixels,BlurTop,BlurFront,Score,Volume (cm³),Surface Area (cm²),Aspect Ratio,Elongation,Compactness,Condition Factor (K),Rectangularity,Equivalent Diameter (cm)
fish01,67.49,1728,86.4,20.0,20.0,16.569368460772544,5.917631593133052,5.325868433819747,98.05141828172998,44.97400010781119,1606,1167,456.8650346450617,271.6973339609676,760.6823686060293,273.427968668453,239.7740641471131,2.8,0.6428571428571428,0.6091730907237827,1.4836161805384191,1.0,11.173313885041756
fish01,67.49,1798,89.9,20.0,20.0,17.944760112298425,6.408842897249438,5.767958607524495,115.00514838854879,48.70720601909573,1675,5040,468.0351085037608,272.1319107625219,773.6670192662826,347.326596057167,281.23256460944316,2.8,0.6428571428571428,0.6091730907237825,1.1679559329268876,1.0,12.100789345180573
fish01,67.49,2305,115.25,20.0,20.0,17.37778517722235,6.206351849007983,5.585716664107185,107.85264916631745,47.16827405246067,1796,3020,463.4096169704861,266.629921850586,765.9595388210721,315.4338826538794,263.74190677524604,2.8,0.6428571428571428,0.6091730907237826,1.2860449711846442,1.0,11.718458001076902
fish01,67.49,2308,115.4,20.0,20.0,17.339964859660554,6.192844592735913,5.573560133462322,107.3837076193796,47.065618904792935,1586,3125,462.4583237243653,266.62988929850263,760.8082130228679,313.37886849105047,262.5951612969334,2.8,0.6428571428571428,0.6091730907237827,1.2944783433598162,1.0,11.69295441713824
fish01,67.49,2310,115.5,20.0,20.0,17.499949438372415,6.249981942275863,5.624983748048277,109.37436798056822,47.499862761296555,1640,3129,462.2938228310479,266.632578100586,761.7264009316339,322.1331732837004,267.463104397637,2.8,0.6428571428571428,0.6091730907237826,1.2592995449462914,1.0,11.800837703030869
fish01,67.49,2312,115.6,20.0,20.0,17.146351160583706,6.123696843065609,5.511327158759048,104.99905647216077,46.54009600729863,1614,3201,449.0759671359402,266.6431314860026,747.9990986219427,302.99831322495436,256.7637566404617,2.8,0.6428571428571428,0.6091730907237827,1.3388264581760025,1.0,11.562393820495634
fish01,67.49,2314,115.7,20.0,20.0,16.946503408533516,6.052322645904828,5.447090381314345,102.56570634837075,45.997652108876686,1550,3283,449.12995154062907,266.6439648232353,746.7739163638644,292.5266104680665,250.81326394082947,2.8,0.6428571428571428,0.6091730907237827,1.3867530132700616,1.0,11.427629380428819
fish01,67.49,2316,115.8,20.0,20.0,16.8967825275026,6.0345651883937865,5.431108669554408,101.96473563632757,45.86269543179277,1606,3299,448.67248638899065,266.8635058379174,747.6559922269081,289.95934660955464,249.3436555191956,2.8,0.6428571428571428,0.6091730907237827,1.399031151337618,1.0,11.394100823699908
fish01,67.49,2318,115.9,20.0,20.0,16.56220583699169,5.915073513211318,5.323566161890187,97.96666506674345,44.95455870040602,1610,3348,448.530242346568,266.8646386641503,747.5948810107184,273.0735287527401,239.56680939075187,2.8,0.6428571428571428,0.6091730907237826,1.4855418625932932,1.0,11.168483873328672
fish01,67.49,2336,116.8,20.0,20.0,16.50803375893787,5.895726342477811,5.30615370823003,97.326849495083,44.80752020283136,1064,3253,457.0961322616578,266.98316405737137,745.3592963190292,270.4027562313368,238.00221009570814,2.8,0.6428571428571428,0.6091730907237826,1.5002145842818773,1.0,11.1319537162902
fish01,67.49,2337,116.85,20.0,20.0,16.744294858062304,5.980105306450823,5.382094775805741,100.13264653347561,45.448800329026255,992,3313,456.8714664694703,266.98559895320466,743.697065422675,282.17962913256275,244.8634811599808,2.8,0.6428571428571428,0.6091730907237825,1.4376025646333814,1.0,11.291272970104366
fish01,67.49,2340,117.0,20.0,20.0,16.977560759190013,6.063414556853576,5.457073101168219,102.94198904713878,46.08195063208718,1063,3423,456.9613275676961,266.9839029858801,745.2052305535763,294.13787412472203,251.7334222978725,2.8,0.6428571428571428,0.6091730907237826,1.3791564916126975,1.0,11.448572455485927
fish01,67.49,2343,117.15,20.0,20.0,16.851382100724894,6.018350750258891,5.416515675233002,101.41752810879692,45.739465701967575,1135,3361,456.80772082879344,266.9971093654632,746.5048301942567,287.62832205778113,248.00551910967496,2.8,0.6428571428571428,0.6091730907237826,1.4103693114295468,1.0,11.363485702785486
fish01,67.49,2345,117.25,20.0,20.0,16.70933008144778,5.967617886231351,5.3708560976082165,99.71489706099133,45.35389593535827,1215,3345,456.7763753426823,267.10999348004657,748.1863688227288,280.41560868202413,243.84192032416442,2.8,0.6428571428571428,0.6091730907237826,1.44664614225618,1.0,11.267694978887661
fish01,67.49,2347,117.35,20.0,20.0,16.97555504624578,6.062698230802065,5.456428407721859,102.91766754575735,46.07650655409569,1283,3438,473.7950419047039,267.11908524168865,766.5741271463925,294.0336389305549,251.6739467152182,2.8,0.6428571428571428,0.6091730907237827,1.3796454038514905,1.0,11.447219931981953
fish01,67.49,2348,117.4,20.0,20.0,16.713669849973787,5.969167803562067,5.372251023205861,99.76669994782958,45.36567530707171,1289,3438,473.4714221130371,267.68991857502186,766.941340688059,280.63415513225783,243.96859864182085,2.8,0.6428571428571428,0.6091730907237826,1.4455195531601899,1.0,11.270621439002559
fish01,67.49,2466,123.3,20.0,20.0,15.462418458276366,5.522292306527274,4.970063075874546,85.38799449244489,41.96942152960728,1984,3427,471.8197352425846,265.60226887841765,777.1020041210022,222.20679541656997,208.807040506009,2.8,0.6428571428571428,0.6091730907237827,1.8256064481186363,1.0,10.426858166936439
fish01,67.49,2469,123.45,20.0,20.0,15.457202118908064,5.520429328181452,4.968386395363307,85.33039190884855,41.95526289417903,2036,3496,471.64645832579816,265.65224283675093,778.0187011625492,221.98198290022793,208.66617966160405,2.8,0.6428571428571428,0.6091730907237827,1.8274553332132262,1.0,10.42334060395684
fish01,67.49,2472,123.6,20.0,20.0,16.008976721293433,5.717491686176226,5.145742517558603,91.53119130818394,43.45293681493932,2044,3666,467.0885937424648,265.6572233064334,773.6258170488982,246.61289896043922,223.82955923320438,2.8,0.6428571428571428,0.6091730907237825,1.644934876635725,1.0,10.795421823638907
fish01,67.49,2473,123.65,20.0,20.0,16.38773555368259,5.852762697743782,5.267486427969404,95.913527349083,44.48099650285274,2097,3686,467.27045138135367,265.65836262935005,774.8688140107038,264.53425079308477,234.54608471951167,2.8,0.6428571428571428,0.6091730907237826,1.5334957848069826,1.0,11.050832362129562
fish01,67.49,2476,123.8,20.0,20.0,15.62139423766294,5.579069370593908,5.021162433534517,87.15284211731748,42.40092721651369,2071,3819,467.31650172857576,265.1749967439334,773.9114984725092,229.1313150117734,213.12278315442438,2.8,0.6428571428571428,0.6091730907237827,1.7704352567759,1.0,10.534061183600029
fish01,67.49,2479,123.95,20.0,20.0,16.011624262379822,5.718437236564222,5.1465935129078,91.56146839986792,43.46012299788809,1977,4019,467.24193575635366,265.17802408768347,771.959959844037,246.73527263459798,223.903598563291,2.8,0.6428571428571428,0.6091730907237825,1.6441190357449746,1.0,10.797207154664155
fish01,67.49,2480,124.0,20.0,20.0,15.856881280162227,5.663171885772225,5.096854697195003,89.80024426184261,43.040106331868905,2028,4077,467.3357812424648,265.1804589835168,773.0762402259816,239.6505295843256,219.5967167573089,2.8,0.6428571428571428,0.6091730907237826,1.6927238142635894,1.0,10.692858463528585
fish01,67.49,2483,124.15,20.0,20.0,16.743064687456506,5.979665959805896,5.381699363825306,100.11793397441181,45.445461294524804,2119,4278,467.2534808900433,265.18792643143337,774.8214073214766,282.117440144734,244.82750319920723,2.8,0.6428571428571428,0.6091730907237826,1.4379194647454367,1.0,11.29044342235526
fish01,67.49,2485,124.25,20.0,20.0,16.941980897272593,6.050707463311641,5.445636716980477,102.51097025841052,45.985376721168464,2079,4395,467.1701518979484,265.19015299393345,773.940304891882,292.2924733426649,250.67941279440777,2.8,0.6428571428571428,0.6091730907237827,1.3878638539306367,1.0,11.424579690394673
fish01,67.49,2487,124.35,20.0,20.0,17.37129409584949,6.204033605660532,5.583630245094479,107.77209234446262,47.15065540302004,2103,4517,467.143441828504,265.16330403560005,774.3667458641039,315.0805449400983,263.5449138412386,2.8,0.6428571428571428,0.6091730907237827,1.2874871680997995,1.0,11.71408083427033
fish01,67.49,2488,124.4,20.0,20.0,17.342957086230694,6.193913245082391,5.574521920574152,107.4207716052998,47.07374066262617,2105,4587,467.260407971342,265.1647851555719,774.5251931269139,313.5411287503323,262.68579723768073,2.8,0.6428571428571428,0.6091730907237826,1.2938084395661245,1.0,11.694972181832322
fish01,67.49,2492,124.6,20.0,20.0,16.978149101653656,6.063624679162021,5.457262211245819,102.9491238992796,46.083547561631356,2056,4849,467.363515610231,265.1657421868219,773.6492577970529,294.16845445385144,251.75086980169115,2.8,0.6428571428571428,0.6091730907237826,1.3790131211771663,1.0,11.448969195713762
