FishID,Weight (g),Length (cm),Width (cm),Height (cm),Area (cm²),Perimeter (cm),Volume (cm³),Surface Area (cm²),Aspect Ratio,Elongation,Compactness,Condition Factor (K),Rectangularity,Equivalent Diameter (cm)
fish01,67.49,2.2005018892586543,0.6618614997445877,1.1047317411761253,0.9266995192304076,2.0308524557381857,1.3311219131652188,1.5922189430852007,2.8151562352005057,-1.8782185352209875,3.046498260473182,-0.9963797895556536,-1.2981944641586813,1.1257764722237737
fish01,67.49,2.123123226465532,0.7389230068837481,1.6937253696246497,1.0107943523913587,2.030852449712295,1.748340317210351,2.0409117926418188,2.4898361869952734,-1.7409135015892725,2.7199912270806874,-0.9728282822805411,-0.9971327051623857,1.1997743521106103
fish01,67.49,0.6690838873782639,0.7418223249294394,-0.9727963552243388,0.6090079272890374,0.6118927992097104,-0.3189789271543334,-0.245381850708498,-0.06918780367240505,-0.10644143199910519,-0.6771837698467674,0.04006485919471541,0.7344394489916194,0.8319613887415822
fish01,67.49,0.7505147706086269,0.7263070553876324,-0.9898860996148809,0.599664056937821,0.6833796373272712,-0.3162586933115832,-0.2438341969063813,0.09967476538930171,-0.25883408471154834,-0.4329079077442431,-0.06888586071265497,0.45381375806032986,0.822940704274348
fish01,67.49,0.7202855518464618,1.0199554565346398,-0.9152207049034758,0.6121225507394432,0.7165828438658876,-0.23783641231325833,-0.19628280296929218,-0.4037583503807313,0.22426114192874103,-0.3651531946803183,-0.02971105327070452,-0.2258082409427521,0.8349630564414968
fish01,67.49,0.8632529679980266,1.047566448353026,-0.8185442116295152,0.6962173839003936,0.847291329724697,-0.15380061568533507,-0.09958431712781819,-0.21189265979628027,0.029671763873108485,-0.1976884369063821,-0.2029892621382843,-0.2718571660447335,0.915045994654512
fish01,67.49,0.8914317002838826,1.2759702020174002,-0.8160458371444548,0.8161303867410091,0.9249107645368865,-0.10439172124872097,-0.05374554690544901,-0.48197955907225626,0.30770822097164324,-0.2861194621831416,-0.2337947441893003,-0.3242864494327795,1.026201138282299
fish01,67.49,0.9378981658948686,1.1356991607516134,-0.8035008031315789,0.8690789853979042,0.9162379447767856,-0.1135262129374301,-0.035814448613056195,-0.21939632371150922,0.037025402118380894,-0.44497860104646736,-0.282432656703555,0.16823553374578543,1.0742196121775318
fish01,67.49,0.9304720497911613,1.25732008553422,-0.8310955193701172,0.8924386612759463,0.9310433823221315,-0.10827320598659324,-0.04245426325525952,-0.39792735720549766,0.2181394172426124,-0.45922604965082503,-0.27483424295480247,-0.013585933974662854,1.0952071719480736
fish01,67.49,0.9749487479677172,0.9640165579656362,-0.7898364040139378,0.9064544668027714,0.9581139680625574,-0.13109317073472854,-0.010691208301654247,0.09650103124410833,-0.25605193509940277,-0.41550912505767823,-0.31938878615746846,0.7354416775370239,1.1077430582212011
fish01,67.49,0.7151547928076647,1.0693060573095814,-0.7140663929611931,0.850391244695471,0.6966970385261695,-0.12535466743769125,-0.03867182648675891,-0.4807900763662226,0.3064204994449772,-1.017961887765905,-0.02291657444417491,0.9755177644350015,1.0573434271296074
