FishID,Weight (g),FrameIndex,Timestamp (s),FPS_Top,FPS_Front,Length (cm),Width (cm),Height (cm),Area (cm²),Perimeter (cm),TopMaskPixels,FrontMaskPixels,BlurTop,BlurFront,Score,VisScore_Top_Raw,VisScore_Front_Raw,VisScore_Top_Enhanced,VisScore_Front_Enhanced,Volume (cm³),Surface Area (cm²),Aspect Ratio,Elongation,Compactness,Condition Factor (K),Rectangularity,Equivalent Diameter (cm)
fish01,67.49,3460,173.0,20.0,20.0,15.578833008986292,5.563868931780819,5.007482038602737,86.67858497210032,42.28540388153422,2701,7951,27.930589100402077,10.277604163953995,92.22819326435608,87.2,65.4,65.8,50.1,227.26357564269932,211.9630389594675,2.8,0.6428571428571428,0.6091730907237827,1.7849853738376682,1.0,10.505360634845676
fish01,67.49,3680,184.0,20.0,20.0,15.773568421598622,5.63341729342808,5.070075564085272,88.85909312530474,42.8139714300534,2629,5237,27.685743948854043,10.393095619191064,90.6588395680451,87.0,65.2,65.8,49.9,235.8929334045543,217.29523415829166,2.8,0.6428571428571428,0.6091730907237828,1.719687625540532,1.0,10.636677642781247
fish01,67.49,3690,184.5,20.0,20.0,16.11216248085117,5.754343743161132,5.178909368845019,92.71492136048147,43.7330124480246,2534,5241,27.60097854207356,10.41035794470045,88.69133648677402,87.0,65.2,65.7,49.9,251.41232684820605,226.72424215025234,2.8,0.6428571428571428,0.6091730907237826,1.6135332885773475,1.0,10.865003647637485
fish01,67.49,3750,187.5,20.0,20.0,16.986235839102147,6.066512799679338,5.459861519711405,103.04721713628507,46.10549727756297,2690,9547,28.08655166731469,10.32827147419188,92.21482314150656,87.1,65.1,65.7,49.9,294.58899433977587,251.9907461289725,2.8,0.6428571428571428,0.6091730907237827,1.377044513958937,1.0,11.454422370107935
fish01,67.49,3685,184.25,20.0,20.0,15.511234539912437,5.539726621397299,4.985753959257569,85.9279989114902,42.10192232261947,2517,5300,27.57315746701088,10.401926915105186,88.31508438211607,87.0,65.2,65.7,50.0,224.31802015341583,210.12756249825458,2.8,0.6428571428571428,0.6091730907237825,1.8084242997991324,1.0,10.459776585284667
fish01,67.49,3465,173.25,20.0,20.0,16.163039246823278,5.7725140167225995,5.19526261505034,93.30137060512486,43.871106527091754,2688,7564,27.92873136543934,10.284251301405163,91.9729826668445,87.2,65.4,65.8,50.1,253.80148071486738,228.15833990496432,2.8,0.6428571428571428,0.6091730907237826,1.5983443334753784,1.0,10.899311658652389
fish01,67.49,3695,184.75,20.0,20.0,15.822142331968092,5.650765118560033,5.0856886067040294,89.40720999037738,42.94581490105625,2493,5533,27.69389984581088,10.402656164169311,87.95655600998019,87.0,65.2,65.7,50.0,238.07891247981158,218.6355942537308,2.8,0.6428571428571428,0.6091730907237825,1.7038978979823243,1.0,10.669432756439734
fish01,67.49,2600,130.0,20.0,20.0,16.455668308247148,5.877024395802553,5.289321956222298,96.71036409680342,44.665385408099404,2560,6781,27.54955994780741,10.283860615878634,89.03342056368605,87.1,65.2,65.5,50.1,267.83766093696846,236.4946621986636,2.8,0.6428571428571428,0.6091730907237826,1.5145822178597026,1.0,11.096641832274566
fish01,67.49,2605,130.25,20.0,20.0,16.52849351668235,5.903033398815126,5.312730058933613,97.56824926107518,44.86305383099495,2562,6690,27.59418263406636,10.308479741149478,89.14266237521585,87.1,65.2,65.5,50.1,271.40939963744756,238.5925269314095,2.8,0.6428571428571428,0.6091730907237826,1.4946503660895971,1.0,11.145750457900009
fish01,67.49,2610,130.5,20.0,20.0,16.622038482688133,5.936442315245762,5.342798083721187,98.6757726142733,45.11696159586779,2559,6711,27.66725120018853,10.316552671549054,89.1638038717376,87.1,65.2,65.6,50.1,276.0437505067212,241.30085466585533,2.8,0.6428571428571428,0.6091730907237826,1.4695574805936118,1.0,11.208831152256144
