FishID,Weight (g),FrameIndex,Timestamp (s),FPS_Top,FPS_Front,Length (cm),Width (cm),Height (cm),Area (cm²),Perimeter (cm),TopMaskPixels,FrontMaskPixels,BlurTop,BlurFront,Score,_Truth_Length (cm),Width_truth (cm),Area_truth (cm²),Perimeter_truth (cm),_AbsError_Length (cm),_PerFishScale,_PerFishScale_Width,_PerFishScale_Perimeter,_PerFishScale_Area,_CompositeRelError,_SelectionMode,_relL,_relW,_relA,_relP,_CompositeRelErrorRecalc
fish01,67.49,286,14.3,20.0,20.0,20.87196041076105,3.4290759721374338,19.16874940104469,45.67586116105406,44.358958519743084,3591,10787,455.0009677583481,266.6759407337506,793.4969084920988,20.80835491677989,3.7047248508619215,47.14461247637051,44.34499613098476,1.4819745711749732,0.9914870379850704,0.2931347624306447,0.7767257954665941,0.2248155203559927,0.1181387581451434,within,0.0712201698357185,0.0648663788285476,0.2109684014043822,0.1255000825119251,0.1181387581451434
fish01,67.49,287,14.35,20.0,20.0,20.87196041076105,3.4290759721374338,19.16874940104469,45.67586116105406,44.358958519743084,3650,10809,455.251913944932,266.676735004584,794.928648949516,20.80835491677989,3.7047248508619215,47.14461247637051,44.34499613098476,1.4257712311866122,0.9914870379850704,0.2931347624306447,0.7767257954665941,0.2248155203559927,0.1181404409149838,within,0.068519171116063,0.0807720321399935,0.2012799431136396,0.1219906172902393,0.1181404409149838
fish01,67.49,288,14.4,20.0,20.0,20.87196041076105,3.4290759721374338,19.16874940104469,45.67586116105406,44.358958519743084,3614,10860,455.2019052869821,266.683395160834,794.165300447816,20.80835491677989,3.7047248508619215,47.14461247637051,44.34499613098476,0.8163375305705678,0.9914870379850704,0.2931347624306447,0.7767257954665941,0.2248155203559927,0.1068429803484133,within,0.0392312383095826,0.0846799107323413,0.1870583529620909,0.1164024193896385,0.1068429803484133
fish01,67.49,289,14.45,20.0,20.0,20.87196041076105,3.4290759721374338,19.16874940104469,45.67586116105406,44.358958519743084,3586,10852,455.0999478078583,266.6818196400006,793.5017674478589,20.80835491677989,3.7047248508619215,47.14461247637051,44.34499613098476,0.8163375305705678,0.9914870379850704,0.2931347624306447,0.7767257954665941,0.2248155203559927,0.1065010828264958,within,0.0392312383095826,0.0846799107323413,0.185725078885383,0.1163681033786761,0.1065010828264958
fish01,67.49,290,14.5,20.0,20.0,20.87196041076105,3.4290759721374338,19.16874940104469,45.67586116105406,44.358958519743084,3554,10881,454.8861239958399,266.6838053170839,792.6499293129237,20.80835491677989,3.7047248508619215,47.14461247637051,44.34499613098476,0.8163375305705678,0.9914870379850704,0.2931347624306447,0.7767257954665941,0.2248155203559927,0.1043205852072649,within,0.0392312383095826,0.0846799107323413,0.1801253277632107,0.113245864023925,0.1043205852072649
fish01,67.49,291,14.55,20.0,20.0,20.87196041076105,3.4290759721374338,19.16874940104469,45.67586116105406,44.358958519743084,3554,10986,457.3374608627321,266.6810123483339,795.0984732110661,20.80835491677989,3.7047248508619215,47.14461247637051,44.34499613098476,0.8163404767015123,0.9914870379850704,0.2931347624306447,0.7767257954665941,0.2248155203559927,0.1090552267453651,within,0.0392313798936221,0.0999573289682457,0.187236122838985,0.1097960752806077,0.1090552267453651
fish01,67.49,292,14.6,20.0,20.0,20.87196041076105,3.4290759721374338,19.16874940104469,45.67586116105406,44.358958519743084,3617,11215,457.29981763592,266.6856347441672,796.3254523800873,20.80835491677989,3.7047248508619215,47.14461247637051,44.34499613098476,0.6232628392597128,0.9914870379850704,0.2931347624306447,0.7767257954665941,0.2248155203559927,0.0985663831025132,within,0.029952528287429,0.0846801438436869,0.1747922314563796,0.1048406288225574,0.0985663831025132
fish01,67.49,293,14.65,20.0,20.0,20.87196041076105,3.4290759721374338,19.16874940104469,45.67586116105406,44.358958519743084,3693,11196,457.3670224970312,266.68738604625054,797.9144085432816,20.80835491677989,3.7047248508619215,47.14461247637051,44.34499613098476,0.6232628392597128,0.9914870379850704,0.2931347624306447,0.7767257954665941,0.2248155203559927,0.1041644465397626,within,0.029952528287429,0.0999573289682457,0.1834140704857564,0.1033338584176195,0.1041644465397626
fish01,67.49,294,14.7,20.0,20.0,20.87196041076105,3.4290759721374338,19.16874940104469,45.67586116105406,44.358958519743084,3623,11342,457.2614061775864,266.68663734833393,796.4080435259204,20.80835491677989,3.7047248508619215,47.14461247637051,44.34499613098476,0.9839399737533476,0.9914870379850704,0.2931347624306447,0.7767257954665941,0.2248155203559927,0.1023624002200508,within,0.0472858127270742,0.0793155524546568,0.1814586018399185,0.101389633858554,0.1023624002200509
fish01,67.49,331,16.55,20.0,20.0,20.87196041076105,3.4290759721374338,19.16874940104469,45.67586116105406,44.358958519743084,4455,16159,459.5036716215157,264.45510741881264,813.0587790403284,20.80835491677989,3.7047248508619215,47.14461247637051,44.34499613098476,1.3514418205750722,0.9914870379850704,0.2931347624306447,0.7767257954665941,0.2248155203559927,0.0487295588484406,within,0.0649470765939919,0.0735069422306961,0.0096440158215191,0.0468202007475555,0.0487295588484406
