FishID,Weight (g),FrameIndex,Timestamp (s),FPS_Top,FPS_Front,Length (cm),Width (cm),Height (cm),Area (cm²),Perimeter (cm),TopMaskPixels,FrontMaskPixels,BlurTop,BlurFront,Score,_Truth_Length (cm),Width_truth (cm),Area_truth (cm²),Perimeter_truth (cm),_AbsError_Length (cm),_SelectionMode
fish01,67.49,1748,87.4,20.0,20.0,17.719861748431402,6.791652314684544,4.133333333333333,78.38452787258247,40.24134461753918,1542,491,474.8130815824532,272.0641959266556,777.7172775091088,19.1436865234375,3.408346862792969,39.9032,40.79739644050599,1.4238247750060964,within
fish01,67.49,2551,127.55,20.0,20.0,17.8240414501815,7.629451982910729,10.4,89.9886234357224,41.22347258030575,2033,5818,469.8667076819903,268.42896466467124,778.9556723466616,19.1436865234375,3.408346862792969,39.9032,40.79739644050599,1.3196450732559981,within
fish01,67.49,2670,133.5,20.0,20.0,18.52616875200653,7.041881347323953,8.8,87.33409177095183,42.06656336106451,1619,3930,466.37777318836737,268.118730444336,766.8765036327034,19.1436865234375,3.408346862792969,39.9032,40.79739644050599,0.6175177714309683,within
fish01,67.49,2698,134.9,20.0,20.0,18.421001050917237,6.679208332747554,9.466666666666669,79.82555934774363,41.64274695345406,1558,3206,469.6972384617935,265.7999511688127,766.6571896306062,19.1436865234375,3.408346862792969,39.9032,40.79739644050599,0.7226854725202614,within
fish01,67.49,2733,136.65,20.0,20.0,18.656871407445863,5.524020191085898,13.6,72.92377701934015,41.2545023988378,1531,2717,464.272690613471,266.7494563778242,761.6421469912951,19.1436865234375,3.408346862792969,39.9032,40.79739644050599,0.48681511599163585,within
fish01,67.49,2826,141.3,20.0,20.0,20.254766453012024,6.447463802030877,12.533333333333331,88.60447478194916,44.59487967005165,1722,5454,465.1766166291226,267.1214843678369,766.7381009969595,19.1436865234375,3.408346862792969,39.9032,40.79739644050599,1.111079929574526,within
fish01,67.49,2864,143.2,20.0,20.0,20.291528942709892,6.9471596963908855,8.0,100.39817974971557,45.79355512727056,1938,3678,470.63750388769455,266.3405045376991,775.7380084253937,19.1436865234375,3.408346862792969,39.9032,40.79739644050599,1.1478424192723935,within
fish01,67.49,3008,150.4,20.0,20.0,18.49246534597693,5.915181386608557,10.933333333333334,76.20401971937807,41.98410980192618,1569,5658,465.26618423708686,269.14132484002647,765.7875090771133,19.1436865234375,3.408346862792969,39.9032,40.79739644050599,0.6512211774605667,within
fish01,67.49,3358,167.9,20.0,20.0,18.08266699149079,10.666339837464433,8.133333333333333,135.874099355328,46.06017817037374,3131,2320,463.25656596949074,268.54951497386304,794.4260809433538,19.1436865234375,3.408346862792969,39.9032,40.79739644050599,1.0610195319467088,within
fish01,67.49,4804,240.2,20.0,20.0,19.69794636828694,14.60137034845657,31.466666666666665,234.5468335229427,57.5823438354365,5091,5292,467.8913616886092,273.2998174886068,843.011179177216,19.1436865234375,3.408346862792969,39.9032,40.79739644050599,0.5542598448494402,within
fish10,17.7,9869,493.45,20.0,20.0,20.05774452764327,9.73676914490314,7.466666666666667,148.40728100113762,49.86734879902521,2837,2205,426.6985545449151,249.4687694294823,732.9073239743974,17.9943701171875,4.2684716796875,49.3518,41.10669091224671,2.0633744104557685,fill
fish10,17.7,9870,493.5,20.0,20.0,20.13363624831321,9.80721498350116,7.333333333333333,148.19871065604852,49.88675815747222,2738,2023,426.7073566912428,249.22879219181277,730.6961488830555,17.9943701171875,4.2684716796875,49.3518,41.10669091224671,2.1392661311257086,fill
